date_time,date,time,temp_C,,,
5/16/17 13:02,5/16/17,13:02,29.5,,,
5/16/17 14:02,5/16/17,14:02,9.5,,,
5/16/17 15:02,5/16/17,15:02,8.5,,,
5/16/17 16:02,5/16/17,16:02,8.5,,,
5/16/17 17:02,5/16/17,17:02,8.5,,,
5/16/17 18:02,5/16/17,18:02,8.5,,,
5/16/17 19:02,5/16/17,19:02,8.5,,,
5/16/17 20:02,5/16/17,20:02,8.5,,,
5/16/17 21:02,5/16/17,21:02,8.5,,,
5/16/17 22:02,5/16/17,22:02,8.5,,,
5/16/17 23:02,5/16/17,23:02,8.5,,,
5/17/17 0:02,5/17/17,0:02,8.5,,,
5/17/17 1:02,5/17/17,1:02,8.5,,,
5/17/17 2:02,5/17/17,2:02,8.5,,,
5/17/17 3:02,5/17/17,3:02,8.5,,,
5/17/17 4:02,5/17/17,4:02,8.5,,,
5/17/17 5:02,5/17/17,5:02,8.5,,,
5/17/17 6:02,5/17/17,6:02,8.5,,,
5/17/17 7:02,5/17/17,7:02,8.5,,,
5/17/17 8:02,5/17/17,8:02,8.5,,,
5/17/17 9:02,5/17/17,9:02,9,,,
5/17/17 10:02,5/17/17,10:02,9,,,
5/17/17 11:02,5/17/17,11:02,9,,,
5/17/17 12:02,5/17/17,12:02,9,,,
5/17/17 13:02,5/17/17,13:02,9,,,
5/17/17 14:02,5/17/17,14:02,9,,,
5/17/17 15:02,5/17/17,15:02,9,,,
5/17/17 16:02,5/17/17,16:02,9,,,
5/17/17 17:02,5/17/17,17:02,9,,,
5/17/17 18:02,5/17/17,18:02,9,,,
5/17/17 19:02,5/17/17,19:02,9,,,
5/17/17 20:02,5/17/17,20:02,9,,,
5/17/17 21:02,5/17/17,21:02,9,,,
5/17/17 22:02,5/17/17,22:02,9,,,
5/17/17 23:02,5/17/17,23:02,9,,,
5/18/17 0:02,5/18/17,0:02,9,,,
5/18/17 1:02,5/18/17,1:02,9,,,
5/18/17 2:02,5/18/17,2:02,9,,,
5/18/17 3:02,5/18/17,3:02,9,,,
5/18/17 4:02,5/18/17,4:02,9,,,
5/18/17 5:02,5/18/17,5:02,9,,,
5/18/17 6:02,5/18/17,6:02,9,,,
5/18/17 7:02,5/18/17,7:02,9,,,
5/18/17 8:02,5/18/17,8:02,9,,,
5/18/17 9:02,5/18/17,9:02,9.5,,,
5/18/17 10:02,5/18/17,10:02,9.5,,,
5/18/17 11:02,5/18/17,11:02,9.5,,,
5/18/17 12:02,5/18/17,12:02,9.5,,,
5/18/17 13:02,5/18/17,13:02,9.5,,,
5/18/17 14:02,5/18/17,14:02,9.5,,,
5/18/17 15:02,5/18/17,15:02,9.5,,,
5/18/17 16:02,5/18/17,16:02,9.5,,,
5/18/17 17:02,5/18/17,17:02,9.5,,,
5/18/17 18:02,5/18/17,18:02,9.5,,,
5/18/17 19:02,5/18/17,19:02,9.5,,,
5/18/17 20:02,5/18/17,20:02,9.5,,,
5/18/17 21:02,5/18/17,21:02,9.5,,,
5/18/17 22:02,5/18/17,22:02,9.5,,,
5/18/17 23:02,5/18/17,23:02,9.5,,,
5/19/17 0:02,5/19/17,0:02,9.5,,,
5/19/17 1:02,5/19/17,1:02,9.5,,,
5/19/17 2:02,5/19/17,2:02,9.5,,,
5/19/17 3:02,5/19/17,3:02,9.5,,,
5/19/17 4:02,5/19/17,4:02,9.5,,,
5/19/17 5:02,5/19/17,5:02,9.5,,,
5/19/17 6:02,5/19/17,6:02,9.5,,,
5/19/17 7:02,5/19/17,7:02,9.5,,,
5/19/17 8:02,5/19/17,8:02,10,,,
5/19/17 9:02,5/19/17,9:02,10,,,
5/19/17 10:02,5/19/17,10:02,10,,,
5/19/17 11:02,5/19/17,11:02,10,,,
5/19/17 12:02,5/19/17,12:02,10,,,
5/19/17 13:02,5/19/17,13:02,10,,,
5/19/17 14:02,5/19/17,14:02,10,,,
5/19/17 15:02,5/19/17,15:02,10,,,
5/19/17 16:02,5/19/17,16:02,10,,,
5/19/17 17:02,5/19/17,17:02,10,,,
5/19/17 18:02,5/19/17,18:02,10,,,
5/19/17 19:02,5/19/17,19:02,10,,,
5/19/17 20:02,5/19/17,20:02,10,,,
5/19/17 21:02,5/19/17,21:02,10,,,
5/19/17 22:02,5/19/17,22:02,10,,,
5/19/17 23:02,5/19/17,23:02,10,,,
5/20/17 0:02,5/20/17,0:02,10,,,
5/20/17 1:02,5/20/17,1:02,10,,,
5/20/17 2:02,5/20/17,2:02,10,,,
5/20/17 3:02,5/20/17,3:02,10,,,
5/20/17 4:02,5/20/17,4:02,10,,,
5/20/17 5:02,5/20/17,5:02,10,,,
5/20/17 6:02,5/20/17,6:02,10,,,
5/20/17 7:02,5/20/17,7:02,10,,,
5/20/17 8:02,5/20/17,8:02,10.5,,,
5/20/17 9:02,5/20/17,9:02,10.5,,,
5/20/17 10:02,5/20/17,10:02,10.5,,,
5/20/17 11:02,5/20/17,11:02,10.5,,,
5/20/17 12:02,5/20/17,12:02,10.5,,,
5/20/17 13:02,5/20/17,13:02,10.5,,,
5/20/17 14:02,5/20/17,14:02,10.5,,,
5/20/17 15:02,5/20/17,15:02,10.5,,,
5/20/17 16:02,5/20/17,16:02,10.5,,,
5/20/17 17:02,5/20/17,17:02,10.5,,,
5/20/17 18:02,5/20/17,18:02,10.5,,,
5/20/17 19:02,5/20/17,19:02,10.5,,,
5/20/17 20:02,5/20/17,20:02,10.5,,,
5/20/17 21:02,5/20/17,21:02,10.5,,,
5/20/17 22:02,5/20/17,22:02,10.5,,,
5/20/17 23:02,5/20/17,23:02,10.5,,,
5/21/17 0:02,5/21/17,0:02,10.5,,,
5/21/17 1:02,5/21/17,1:02,10.5,,,
5/21/17 2:02,5/21/17,2:02,10.5,,,
5/21/17 3:02,5/21/17,3:02,10.5,,,
5/21/17 4:02,5/21/17,4:02,10.5,,,
5/21/17 5:02,5/21/17,5:02,10.5,,,
5/21/17 6:02,5/21/17,6:02,10.5,,,
