date_time,date,time,temp_C,,,
5/16/17 13:01,5/16/17,13:01,31.5,,,
5/16/17 14:01,5/16/17,14:01,30.5,,,
5/16/17 15:01,5/16/17,15:01,14,,,
5/16/17 16:01,5/16/17,16:01,9,,,
5/16/17 17:01,5/16/17,17:01,9,,,
5/16/17 18:01,5/16/17,18:01,9,,,
5/16/17 19:01,5/16/17,19:01,9,,,
5/16/17 20:01,5/16/17,20:01,9,,,
5/16/17 21:01,5/16/17,21:01,9.5,,,
5/16/17 22:01,5/16/17,22:01,9.5,,,
5/16/17 23:01,5/16/17,23:01,9.5,,,
5/17/17 0:01,5/17/17,0:01,9.5,,,
5/17/17 1:01,5/17/17,1:01,9.5,,,
5/17/17 2:01,5/17/17,2:01,9.5,,,
5/17/17 3:01,5/17/17,3:01,9.5,,,
5/17/17 4:01,5/17/17,4:01,9.5,,,
5/17/17 5:01,5/17/17,5:01,9.5,,,
5/17/17 6:01,5/17/17,6:01,9.5,,,
5/17/17 7:01,5/17/17,7:01,9.5,,,
5/17/17 8:01,5/17/17,8:01,9.5,,,
5/17/17 9:01,5/17/17,9:01,9.5,,,
5/17/17 10:01,5/17/17,10:01,9.5,,,
5/17/17 11:01,5/17/17,11:01,9.5,,,
5/17/17 12:01,5/17/17,12:01,9.5,,,
5/17/17 13:01,5/17/17,13:01,9.5,,,
5/17/17 14:01,5/17/17,14:01,9.5,,,
5/17/17 15:01,5/17/17,15:01,9.5,,,
5/17/17 16:01,5/17/17,16:01,9.5,,,
5/17/17 17:01,5/17/17,17:01,10,,,
5/17/17 18:01,5/17/17,18:01,10,,,
5/17/17 19:01,5/17/17,19:01,10,,,
5/17/17 20:01,5/17/17,20:01,10,,,
5/17/17 21:01,5/17/17,21:01,10,,,
5/17/17 22:01,5/17/17,22:01,10.5,,,
5/17/17 23:01,5/17/17,23:01,10.5,,,
5/18/17 0:01,5/18/17,0:01,10.5,,,
5/18/17 1:01,5/18/17,1:01,10.5,,,
5/18/17 2:01,5/18/17,2:01,10.5,,,
5/18/17 3:01,5/18/17,3:01,10.5,,,
5/18/17 4:01,5/18/17,4:01,10.5,,,
5/18/17 5:01,5/18/17,5:01,10.5,,,
5/18/17 6:01,5/18/17,6:01,10.5,,,
5/18/17 7:01,5/18/17,7:01,10.5,,,
5/18/17 8:01,5/18/17,8:01,10.5,,,
5/18/17 9:01,5/18/17,9:01,10.5,,,
5/18/17 10:01,5/18/17,10:01,10.5,,,
5/18/17 11:01,5/18/17,11:01,10.5,,,
5/18/17 12:01,5/18/17,12:01,10.5,,,
5/18/17 13:01,5/18/17,13:01,10.5,,,
5/18/17 14:01,5/18/17,14:01,10.5,,,
5/18/17 15:01,5/18/17,15:01,10.5,,,
5/18/17 16:01,5/18/17,16:01,10.5,,,
5/18/17 17:01,5/18/17,17:01,10.5,,,
5/18/17 18:01,5/18/17,18:01,11,,,
5/18/17 19:01,5/18/17,19:01,11,,,
5/18/17 20:01,5/18/17,20:01,11,,,
5/18/17 21:01,5/18/17,21:01,11,,,
5/18/17 22:01,5/18/17,22:01,11,,,
5/18/17 23:01,5/18/17,23:01,11,,,
5/19/17 0:01,5/19/17,0:01,11,,,
5/19/17 1:01,5/19/17,1:01,11,,,
5/19/17 2:01,5/19/17,2:01,11,,,
5/19/17 3:01,5/19/17,3:01,11,,,
5/19/17 4:01,5/19/17,4:01,11,,,
5/19/17 5:01,5/19/17,5:01,11,,,
5/19/17 6:01,5/19/17,6:01,11,,,
5/19/17 7:01,5/19/17,7:01,11,,,
5/19/17 8:01,5/19/17,8:01,11,,,
5/19/17 9:01,5/19/17,9:01,11,,,
5/19/17 10:01,5/19/17,10:01,11,,,
5/19/17 11:01,5/19/17,11:01,11,,,
5/19/17 12:01,5/19/17,12:01,11,,,
5/19/17 13:01,5/19/17,13:01,11,,,
5/19/17 14:01,5/19/17,14:01,11.5,,,
5/19/17 15:01,5/19/17,15:01,11.5,,,
5/19/17 16:01,5/19/17,16:01,11.5,,,
5/19/17 17:01,5/19/17,17:01,11.5,,,
5/19/17 18:01,5/19/17,18:01,11.5,,,
5/19/17 19:01,5/19/17,19:01,11.5,,,
5/19/17 20:01,5/19/17,20:01,11.5,,,
5/19/17 21:01,5/19/17,21:01,11.5,,,
5/19/17 22:01,5/19/17,22:01,11.5,,,
5/19/17 23:01,5/19/17,23:01,11.5,,,
5/20/17 0:01,5/20/17,0:01,11.5,,,
5/20/17 1:01,5/20/17,1:01,11.5,,,
5/20/17 2:01,5/20/17,2:01,11.5,,,
5/20/17 3:01,5/20/17,3:01,11.5,,,
5/20/17 4:01,5/20/17,4:01,11.5,,,
5/20/17 5:01,5/20/17,5:01,11.5,,,
5/20/17 6:01,5/20/17,6:01,11.5,,,
5/20/17 7:01,5/20/17,7:01,11.5,,,
5/20/17 8:01,5/20/17,8:01,11.5,,,
5/20/17 9:01,5/20/17,9:01,11.5,,,
5/20/17 10:01,5/20/17,10:01,11.5,,,
5/20/17 11:01,5/20/17,11:01,11.5,,,
5/20/17 12:01,5/20/17,12:01,11.5,,,
5/20/17 13:01,5/20/17,13:01,11.5,,,
5/20/17 14:01,5/20/17,14:01,11.5,,,
5/20/17 15:01,5/20/17,15:01,11.5,,,
5/20/17 16:01,5/20/17,16:01,11.5,,,
5/20/17 17:01,5/20/17,17:01,11.5,,,
5/20/17 18:01,5/20/17,18:01,11.5,,,
5/20/17 19:01,5/20/17,19:01,11.5,,,
5/20/17 20:01,5/20/17,20:01,11.5,,,
5/20/17 21:01,5/20/17,21:01,11.5,,,
5/20/17 22:01,5/20/17,22:01,11.5,,,
5/20/17 23:01,5/20/17,23:01,11.5,,,
5/21/17 0:01,5/21/17,0:01,11.5,,,
5/21/17 1:01,5/21/17,1:01,11.5,,,
5/21/17 2:01,5/21/17,2:01,11.5,,,
5/21/17 3:01,5/21/17,3:01,11.5,,,
5/21/17 4:01,5/21/17,4:01,11.5,,,
5/21/17 5:01,5/21/17,5:01,11.5,,,
5/21/17 6:01,5/21/17,6:01,11.5,,,
5/21/17 7:01,5/21/17,7:01,11.5,,,
5/21/17 8:01,5/21/17,8:01,11.5,,,
5/21/17 9:01,5/21/17,9:01,11.5,,,
5/21/17 10:01,5/21/17,10:01,11.5,,,
5/21/17 11:01,5/21/17,11:01,11.5,,,
5/21/17 12:01,5/21/17,12:01,11,,,
5/21/17 13:01,5/21/17,13:01,11,,,
5/21/17 14:01,5/21/17,14:01,11,,,
5/21/17 15:01,5/21/17,15:01,11,,,
5/21/17 16:01,5/21/17,16:01,11,,,
5/21/17 17:01,5/21/17,17:01,11,,,
5/21/17 18:01,5/21/17,18:01,11,,,
5/21/17 19:01,5/21/17,19:01,11,,,
5/21/17 20:01,5/21/17,20:01,11,,,
5/21/17 21:01,5/21/17,21:01,11,,,
5/21/17 22:01,5/21/17,22:01,11,,,
5/21/17 23:01,5/21/17,23:01,11,,,
5/22/17 0:01,5/22/17,0:01,11,,,
5/22/17 1:01,5/22/17,1:01,11,,,
5/22/17 2:01,5/22/17,2:01,11,,,
5/22/17 3:01,5/22/17,3:01,11,,,
5/22/17 4:01,5/22/17,4:01,11,,,
5/22/17 5:01,5/22/17,5:01,11,,,
5/22/17 6:01,5/22/17,6:01,11,,,
5/22/17 7:01,5/22/17,7:01,11,,,
5/22/17 8:01,5/22/17,8:01,11,,,
5/22/17 9:01,5/22/17,9:01,11,,,
5/22/17 10:01,5/22/17,10:01,11,,,
5/22/17 11:01,5/22/17,11:01,11,,,
5/22/17 12:01,5/22/17,12:01,11,,,
5/22/17 13:01,5/22/17,13:01,11,,,
5/22/17 14:01,5/22/17,14:01,11,,,
5/22/17 15:01,5/22/17,15:01,11,,,
5/22/17 16:01,5/22/17,16:01,11,,,
5/22/17 17:01,5/22/17,17:01,11,,,
5/22/17 18:01,5/22/17,18:01,11,,,
5/22/17 19:01,5/22/17,19:01,11,,,
5/22/17 20:01,5/22/17,20:01,11,,,
5/22/17 21:01,5/22/17,21:01,11,,,
5/22/17 22:01,5/22/17,22:01,11,,,
5/22/17 23:01,5/22/17,23:01,11,,,
5/23/17 0:01,5/23/17,0:01,11,,,
5/23/17 1:01,5/23/17,1:01,11,,,
5/23/17 2:01,5/23/17,2:01,11,,,
5/23/17 3:01,5/23/17,3:01,11,,,
5/23/17 4:01,5/23/17,4:01,11,,,
5/23/17 5:01,5/23/17,5:01,11,,,
5/23/17 6:01,5/23/17,6:01,11,,,
5/23/17 7:01,5/23/17,7:01,11,,,
5/23/17 8:01,5/23/17,8:01,11,,,
5/23/17 9:01,5/23/17,9:01,11,,,
5/23/17 10:01,5/23/17,10:01,11,,,
5/23/17 11:01,5/23/17,11:01,11,,,
5/23/17 12:01,5/23/17,12:01,11,,,
5/23/17 13:01,5/23/17,13:01,10.5,,,
5/23/17 14:01,5/23/17,14:01,10.5,,,
5/23/17 15:01,5/23/17,15:01,10.5,,,
5/23/17 16:01,5/23/17,16:01,10.5,,,
5/23/17 17:01,5/23/17,17:01,10.5,,,
5/23/17 18:01,5/23/17,18:01,10.5,,,
5/23/17 19:01,5/23/17,19:01,10.5,,,
5/23/17 20:01,5/23/17,20:01,10.5,,,
5/23/17 21:01,5/23/17,21:01,10.5,,,
5/23/17 22:01,5/23/17,22:01,10.5,,,
5/23/17 23:01,5/23/17,23:01,10.5,,,
5/24/17 0:01,5/24/17,0:01,10.5,,,
5/24/17 1:01,5/24/17,1:01,10.5,,,
5/24/17 2:01,5/24/17,2:01,10.5,,,
5/24/17 3:01,5/24/17,3:01,10.5,,,
5/24/17 4:01,5/24/17,4:01,10.5,,,
5/24/17 5:01,5/24/17,5:01,10.5,,,
5/24/17 6:01,5/24/17,6:01,10.5,,,
5/24/17 7:01,5/24/17,7:01,10.5,,,
5/24/17 8:01,5/24/17,8:01,10.5,,,
5/24/17 9:01,5/24/17,9:01,10.5,,,
5/24/17 10:01,5/24/17,10:01,10.5,,,
5/24/17 11:01,5/24/17,11:01,10.5,,,
5/24/17 12:01,5/24/17,12:01,10.5,,,
5/24/17 13:01,5/24/17,13:01,10.5,,,
5/24/17 14:01,5/24/17,14:01,10.5,,,
5/24/17 15:01,5/24/17,15:01,10.5,,,
5/24/17 16:01,5/24/17,16:01,10.5,,,
5/24/17 17:01,5/24/17,17:01,10.5,,,
5/24/17 18:01,5/24/17,18:01,10.5,,,
5/24/17 19:01,5/24/17,19:01,10.5,,,
5/24/17 20:01,5/24/17,20:01,10.5,,,
5/24/17 21:01,5/24/17,21:01,10.5,,,
5/24/17 22:01,5/24/17,22:01,10.5,,,
5/24/17 23:01,5/24/17,23:01,10.5,,,
5/25/17 0:01,5/25/17,0:01,10.5,,,
5/25/17 1:01,5/25/17,1:01,10.5,,,
5/25/17 2:01,5/25/17,2:01,10.5,,,
5/25/17 3:01,5/25/17,3:01,10.5,,,
5/25/17 4:01,5/25/17,4:01,10.5,,,
5/25/17 5:01,5/25/17,5:01,10.5,,,
5/25/17 6:01,5/25/17,6:01,10.5,,,
5/25/17 7:01,5/25/17,7:01,10.5,,,
5/25/17 8:01,5/25/17,8:01,10.5,,,
5/25/17 9:01,5/25/17,9:01,10.5,,,
5/25/17 10:01,5/25/17,10:01,10.5,,,
5/25/17 11:01,5/25/17,11:01,10.5,,,
5/25/17 12:01,5/25/17,12:01,10.5,,,
5/25/17 13:01,5/25/17,13:01,10.5,,,
5/25/17 14:01,5/25/17,14:01,10.5,,,
5/25/17 15:01,5/25/17,15:01,10.5,,,
5/25/17 16:01,5/25/17,16:01,10.5,,,
5/25/17 17:01,5/25/17,17:01,10.5,,,
5/25/17 18:01,5/25/17,18:01,10.5,,,
5/25/17 19:01,5/25/17,19:01,10.5,,,
5/25/17 20:01,5/25/17,20:01,10.5,,,
5/25/17 21:01,5/25/17,21:01,10.5,,,
5/25/17 22:01,5/25/17,22:01,10.5,,,
5/25/17 23:01,5/25/17,23:01,10.5,,,
5/26/17 0:01,5/26/17,0:01,10.5,,,
5/26/17 1:01,5/26/17,1:01,10.5,,,
5/26/17 2:01,5/26/17,2:01,10.5,,,
5/26/17 3:01,5/26/17,3:01,10.5,,,
5/26/17 4:01,5/26/17,4:01,10.5,,,
5/26/17 5:01,5/26/17,5:01,10.5,,,
5/26/17 6:01,5/26/17,6:01,10.5,,,
5/26/17 7:01,5/26/17,7:01,10.5,,,
5/26/17 8:01,5/26/17,8:01,10.5,,,
5/26/17 9:01,5/26/17,9:01,10.5,,,
5/26/17 10:01,5/26/17,10:01,10.5,,,
5/26/17 11:01,5/26/17,11:01,10.5,,,
5/26/17 12:01,5/26/17,12:01,10.5,,,
5/26/17 13:01,5/26/17,13:01,10.5,,,
5/26/17 14:01,5/26/17,14:01,10.5,,,
5/26/17 15:01,5/26/17,15:01,10.5,,,
5/26/17 16:01,5/26/17,16:01,10.5,,,
5/26/17 17:01,5/26/17,17:01,10.5,,,
5/26/17 18:01,5/26/17,18:01,10.5,,,
5/26/17 19:01,5/26/17,19:01,10.5,,,
5/26/17 20:01,5/26/17,20:01,10.5,,,
5/26/17 21:01,5/26/17,21:01,10.5,,,
5/26/17 22:01,5/26/17,22:01,10.5,,,
5/26/17 23:01,5/26/17,23:01,10.5,,,
5/27/17 0:01,5/27/17,0:01,10.5,,,
5/27/17 1:01,5/27/17,1:01,10.5,,,
5/27/17 2:01,5/27/17,2:01,10.5,,,
5/27/17 3:01,5/27/17,3:01,10.5,,,
5/27/17 4:01,5/27/17,4:01,10.5,,,
5/27/17 5:01,5/27/17,5:01,10.5,,,
5/27/17 6:01,5/27/17,6:01,10.5,,,
5/27/17 7:01,5/27/17,7:01,10.5,,,
5/27/17 8:01,5/27/17,8:01,10.5,,,
5/27/17 9:01,5/27/17,9:01,10.5,,,
5/27/17 10:01,5/27/17,10:01,10.5,,,
5/27/17 11:01,5/27/17,11:01,10.5,,,
5/27/17 12:01,5/27/17,12:01,10.5,,,
5/27/17 13:01,5/27/17,13:01,10.5,,,
5/27/17 14:01,5/27/17,14:01,10.5,,,
5/27/17 15:01,5/27/17,15:01,10.5,,,
5/27/17 16:01,5/27/17,16:01,10.5,,,
5/27/17 17:01,5/27/17,17:01,10.5,,,
5/27/17 18:01,5/27/17,18:01,10.5,,,
5/27/17 19:01,5/27/17,19:01,10.5,,,
5/27/17 20:01,5/27/17,20:01,10.5,,,
5/27/17 21:01,5/27/17,21:01,10.5,,,
5/27/17 22:01,5/27/17,22:01,10.5,,,
5/27/17 23:01,5/27/17,23:01,10.5,,,
5/28/17 0:01,5/28/17,0:01,10.5,,,
5/28/17 1:01,5/28/17,1:01,10.5,,,
5/28/17 2:01,5/28/17,2:01,10.5,,,
5/28/17 3:01,5/28/17,3:01,10.5,,,
5/28/17 4:01,5/28/17,4:01,10.5,,,
5/28/17 5:01,5/28/17,5:01,10.5,,,
5/28/17 6:01,5/28/17,6:01,11,,,
5/28/17 7:01,5/28/17,7:01,11,,,
5/28/17 8:01,5/28/17,8:01,11,,,
5/28/17 9:01,5/28/17,9:01,11,,,
5/28/17 10:01,5/28/17,10:01,11,,,
5/28/17 11:01,5/28/17,11:01,11,,,
5/28/17 12:01,5/28/17,12:01,11,,,
5/28/17 13:01,5/28/17,13:01,11,,,
5/28/17 14:01,5/28/17,14:01,11,,,
5/28/17 15:01,5/28/17,15:01,11,,,
5/28/17 16:01,5/28/17,16:01,11,,,
5/28/17 17:01,5/28/17,17:01,11,,,
5/28/17 18:01,5/28/17,18:01,11,,,
5/28/17 19:01,5/28/17,19:01,11,,,
5/28/17 20:01,5/28/17,20:01,11,,,
5/28/17 21:01,5/28/17,21:01,11,,,
5/28/17 22:01,5/28/17,22:01,11,,,
5/28/17 23:01,5/28/17,23:01,11,,,
5/29/17 0:01,5/29/17,0:01,11,,,
5/29/17 1:01,5/29/17,1:01,11,,,
5/29/17 2:01,5/29/17,2:01,11,,,
5/29/17 3:01,5/29/17,3:01,11,,,
5/29/17 4:01,5/29/17,4:01,11,,,
5/29/17 5:01,5/29/17,5:01,11,,,
5/29/17 6:01,5/29/17,6:01,11,,,
5/29/17 7:01,5/29/17,7:01,11,,,
5/29/17 8:01,5/29/17,8:01,11,,,
5/29/17 9:01,5/29/17,9:01,11,,,
5/29/17 10:01,5/29/17,10:01,11,,,
5/29/17 11:01,5/29/17,11:01,11,,,
5/29/17 12:01,5/29/17,12:01,11,,,
5/29/17 13:01,5/29/17,13:01,11,,,
5/29/17 14:01,5/29/17,14:01,11,,,
5/29/17 15:01,5/29/17,15:01,11,,,
5/29/17 16:01,5/29/17,16:01,11,,,
5/29/17 17:01,5/29/17,17:01,11,,,
5/29/17 18:01,5/29/17,18:01,11.5,,,
5/29/17 19:01,5/29/17,19:01,11.5,,,
5/29/17 20:01,5/29/17,20:01,11.5,,,
5/29/17 21:01,5/29/17,21:01,11.5,,,
5/29/17 22:01,5/29/17,22:01,11.5,,,
5/29/17 23:01,5/29/17,23:01,11.5,,,
5/30/17 0:01,5/30/17,0:01,11.5,,,
5/30/17 1:01,5/30/17,1:01,11.5,,,
5/30/17 2:01,5/30/17,2:01,11.5,,,
5/30/17 3:01,5/30/17,3:01,11.5,,,
5/30/17 4:01,5/30/17,4:01,11.5,,,
5/30/17 5:01,5/30/17,5:01,11.5,,,
5/30/17 6:01,5/30/17,6:01,11.5,,,
5/30/17 7:01,5/30/17,7:01,11.5,,,
5/30/17 8:01,5/30/17,8:01,11.5,,,
5/30/17 9:01,5/30/17,9:01,11.5,,,
5/30/17 10:01,5/30/17,10:01,11.5,,,
5/30/17 11:01,5/30/17,11:01,11.5,,,
5/30/17 12:01,5/30/17,12:01,11.5,,,
5/30/17 13:01,5/30/17,13:01,11.5,,,
5/30/17 14:01,5/30/17,14:01,11.5,,,
5/30/17 15:01,5/30/17,15:01,11.5,,,
5/30/17 16:01,5/30/17,16:01,11.5,,,
5/30/17 17:01,5/30/17,17:01,11.5,,,
5/30/17 18:01,5/30/17,18:01,11.5,,,
5/30/17 19:01,5/30/17,19:01,11.5,,,
5/30/17 20:01,5/30/17,20:01,11.5,,,
5/30/17 21:01,5/30/17,21:01,11.5,,,
5/30/17 22:01,5/30/17,22:01,11.5,,,
5/30/17 23:01,5/30/17,23:01,11.5,,,
5/31/17 0:01,5/31/17,0:01,11.5,,,
5/31/17 1:01,5/31/17,1:01,11.5,,,
5/31/17 2:01,5/31/17,2:01,11.5,,,
5/31/17 3:01,5/31/17,3:01,11.5,,,
5/31/17 4:01,5/31/17,4:01,11.5,,,
5/31/17 5:01,5/31/17,5:01,11.5,,,
5/31/17 6:01,5/31/17,6:01,11.5,,,
5/31/17 7:01,5/31/17,7:01,11.5,,,
5/31/17 8:01,5/31/17,8:01,11.5,,,
5/31/17 9:01,5/31/17,9:01,11.5,,,
5/31/17 10:01,5/31/17,10:01,11.5,,,
5/31/17 11:01,5/31/17,11:01,11.5,,,
5/31/17 12:01,5/31/17,12:01,11.5,,,
5/31/17 13:01,5/31/17,13:01,11.5,,,
5/31/17 14:01,5/31/17,14:01,11.5,,,
5/31/17 15:01,5/31/17,15:01,11.5,,,
5/31/17 16:01,5/31/17,16:01,11.5,,,
5/31/17 17:01,5/31/17,17:01,11.5,,,
5/31/17 18:01,5/31/17,18:01,11.5,,,
5/31/17 19:01,5/31/17,19:01,11.5,,,
5/31/17 20:01,5/31/17,20:01,11.5,,,
5/31/17 21:01,5/31/17,21:01,11.5,,,
5/31/17 22:01,5/31/17,22:01,11.5,,,
5/31/17 23:01,5/31/17,23:01,11.5,,,
6/1/17 0:01,6/1/17,0:01,11.5,,,
6/1/17 1:01,6/1/17,1:01,11.5,,,
6/1/17 2:01,6/1/17,2:01,11.5,,,
6/1/17 3:01,6/1/17,3:01,11.5,,,
6/1/17 4:01,6/1/17,4:01,11.5,,,
6/1/17 5:01,6/1/17,5:01,11.5,,,
6/1/17 6:01,6/1/17,6:01,11.5,,,
6/1/17 7:01,6/1/17,7:01,11.5,,,
6/1/17 8:01,6/1/17,8:01,11.5,,,
6/1/17 9:01,6/1/17,9:01,11.5,,,
6/1/17 10:01,6/1/17,10:01,11.5,,,
6/1/17 11:01,6/1/17,11:01,11.5,,,
6/1/17 12:01,6/1/17,12:01,11.5,,,
6/1/17 13:01,6/1/17,13:01,11.5,,,
6/1/17 14:01,6/1/17,14:01,11.5,,,
6/1/17 15:01,6/1/17,15:01,11.5,,,
6/1/17 16:01,6/1/17,16:01,11.5,,,
6/1/17 17:01,6/1/17,17:01,11.5,,,
6/1/17 18:01,6/1/17,18:01,11.5,,,
6/1/17 19:01,6/1/17,19:01,11.5,,,
