date_time,date,time,temp_C,,,
5/16/17 12:41,5/16/17,12:41,10,,,
5/16/17 13:41,5/16/17,13:41,9,,,
5/16/17 14:41,5/16/17,14:41,9,,,
5/16/17 15:41,5/16/17,15:41,9,,,
5/16/17 16:41,5/16/17,16:41,9,,,
5/16/17 17:41,5/16/17,17:41,9,,,
5/16/17 18:41,5/16/17,18:41,9,,,
5/16/17 19:41,5/16/17,19:41,9,,,
5/16/17 20:41,5/16/17,20:41,9,,,
5/16/17 21:41,5/16/17,21:41,9.5,,,
5/16/17 22:41,5/16/17,22:41,9.5,,,
5/16/17 23:41,5/16/17,23:41,9.5,,,
5/17/17 0:41,5/17/17,0:41,9.5,,,
5/17/17 1:41,5/17/17,1:41,9.5,,,
5/17/17 2:41,5/17/17,2:41,9.5,,,
5/17/17 3:41,5/17/17,3:41,9.5,,,
5/17/17 4:41,5/17/17,4:41,9.5,,,
5/17/17 5:41,5/17/17,5:41,9.5,,,
5/17/17 6:41,5/17/17,6:41,9.5,,,
5/17/17 7:41,5/17/17,7:41,9.5,,,
5/17/17 8:41,5/17/17,8:41,9.5,,,
5/17/17 9:41,5/17/17,9:41,9.5,,,
5/17/17 10:41,5/17/17,10:41,9.5,,,
5/17/17 11:41,5/17/17,11:41,10,,,
5/17/17 12:41,5/17/17,12:41,10,,,
5/17/17 13:41,5/17/17,13:41,10,,,
5/17/17 14:41,5/17/17,14:41,10,,,
5/17/17 15:41,5/17/17,15:41,10,,,
5/17/17 16:41,5/17/17,16:41,10,,,
5/17/17 17:41,5/17/17,17:41,10,,,
5/17/17 18:41,5/17/17,18:41,10,,,
5/17/17 19:41,5/17/17,19:41,10.5,,,
5/17/17 20:41,5/17/17,20:41,10.5,,,
5/17/17 21:41,5/17/17,21:41,10.5,,,
5/17/17 22:41,5/17/17,22:41,10.5,,,
5/17/17 23:41,5/17/17,23:41,10.5,,,
5/18/17 0:41,5/18/17,0:41,11,,,
5/18/17 1:41,5/18/17,1:41,11,,,
5/18/17 2:41,5/18/17,2:41,11,,,
5/18/17 3:41,5/18/17,3:41,11,,,
5/18/17 4:41,5/18/17,4:41,11,,,
5/18/17 5:41,5/18/17,5:41,11,,,
5/18/17 6:41,5/18/17,6:41,11,,,
5/18/17 7:41,5/18/17,7:41,11,,,
5/18/17 8:41,5/18/17,8:41,11,,,
5/18/17 9:41,5/18/17,9:41,11,,,
5/18/17 10:41,5/18/17,10:41,11,,,
5/18/17 11:41,5/18/17,11:41,11,,,
5/18/17 12:41,5/18/17,12:41,11,,,
5/18/17 13:41,5/18/17,13:41,11,,,
5/18/17 14:41,5/18/17,14:41,11,,,
5/18/17 15:41,5/18/17,15:41,11,,,
5/18/17 16:41,5/18/17,16:41,11,,,
5/18/17 17:41,5/18/17,17:41,11,,,
5/18/17 18:41,5/18/17,18:41,11.5,,,
5/18/17 19:41,5/18/17,19:41,11.5,,,
5/18/17 20:41,5/18/17,20:41,11.5,,,
5/18/17 21:41,5/18/17,21:41,11.5,,,
5/18/17 22:41,5/18/17,22:41,11.5,,,
5/18/17 23:41,5/18/17,23:41,11.5,,,
5/19/17 0:41,5/19/17,0:41,11.5,,,
5/19/17 1:41,5/19/17,1:41,12,,,
5/19/17 2:41,5/19/17,2:41,12,,,
5/19/17 3:41,5/19/17,3:41,12,,,
5/19/17 4:41,5/19/17,4:41,12,,,
5/19/17 5:41,5/19/17,5:41,12,,,
5/19/17 6:41,5/19/17,6:41,12,,,
5/19/17 7:41,5/19/17,7:41,12,,,
5/19/17 8:41,5/19/17,8:41,12,,,
5/19/17 9:41,5/19/17,9:41,12,,,
5/19/17 10:41,5/19/17,10:41,12,,,
5/19/17 11:41,5/19/17,11:41,12,,,
5/19/17 12:41,5/19/17,12:41,12,,,
5/19/17 13:41,5/19/17,13:41,12,,,
5/19/17 14:41,5/19/17,14:41,12,,,
5/19/17 15:41,5/19/17,15:41,12,,,
5/19/17 16:41,5/19/17,16:41,12,,,
5/19/17 17:41,5/19/17,17:41,12,,,
5/19/17 18:41,5/19/17,18:41,12,,,
5/19/17 19:41,5/19/17,19:41,12.5,,,
5/19/17 20:41,5/19/17,20:41,12.5,,,
5/19/17 21:41,5/19/17,21:41,12.5,,,
5/19/17 22:41,5/19/17,22:41,12.5,,,
5/19/17 23:41,5/19/17,23:41,12.5,,,
5/20/17 0:41,5/20/17,0:41,12.5,,,
5/20/17 1:41,5/20/17,1:41,12.5,,,
5/20/17 2:41,5/20/17,2:41,12.5,,,
5/20/17 3:41,5/20/17,3:41,12.5,,,
5/20/17 4:41,5/20/17,4:41,12.5,,,
5/20/17 5:41,5/20/17,5:41,12.5,,,
5/20/17 6:41,5/20/17,6:41,12.5,,,
5/20/17 7:41,5/20/17,7:41,12.5,,,
5/20/17 8:41,5/20/17,8:41,12.5,,,
5/20/17 9:41,5/20/17,9:41,12.5,,,
5/20/17 10:41,5/20/17,10:41,12.5,,,
5/20/17 11:41,5/20/17,11:41,12.5,,,
5/20/17 12:41,5/20/17,12:41,12.5,,,
5/20/17 13:41,5/20/17,13:41,12.5,,,
5/20/17 14:41,5/20/17,14:41,12.5,,,
5/20/17 15:41,5/20/17,15:41,12.5,,,
5/20/17 16:41,5/20/17,16:41,12.5,,,
5/20/17 17:41,5/20/17,17:41,12.5,,,
5/20/17 18:41,5/20/17,18:41,12.5,,,
5/20/17 19:41,5/20/17,19:41,12.5,,,
