,Date,Time,Temp C,,Site6-20
1,5/16/17,13:02:00,27,,
2,5/16/17,14:02:00,30.5,,
3,5/16/17,15:02:00,25,,
4,5/16/17,16:02:00,13.5,,
5,5/16/17,17:02:00,13.5,,
6,5/16/17,18:02:00,13.5,,
7,5/16/17,19:02:00,13.5,,
8,5/16/17,20:02:00,13.5,,
9,5/16/17,21:02:00,13,,
10,5/16/17,22:02:00,13,,
11,5/16/17,23:02:00,12.5,,
12,5/17/17,0:02:00,12.5,,
13,5/17/17,1:02:00,12.5,,
14,5/17/17,2:02:00,12,,
15,5/17/17,3:02:00,12,,
16,5/17/17,4:02:00,12,,
17,5/17/17,5:02:00,11.5,,
18,5/17/17,6:02:00,11.5,,
19,5/17/17,7:02:00,11.5,,
20,5/17/17,8:02:00,11.5,,
21,5/17/17,9:02:00,11.5,,
22,5/17/17,10:02:00,12,,
23,5/17/17,11:02:00,12,,
24,5/17/17,12:02:00,12.5,,
25,5/17/17,13:02:00,13,,
26,5/17/17,14:02:00,13.5,,
27,5/17/17,15:02:00,14,,
28,5/17/17,16:02:00,14.5,,
29,5/17/17,17:02:00,15,,
30,5/17/17,18:02:00,15,,
31,5/17/17,19:02:00,15,,
32,5/17/17,20:02:00,14.5,,
33,5/17/17,21:02:00,14.5,,
34,5/17/17,22:02:00,14.5,,
35,5/17/17,23:02:00,14,,
36,5/18/17,0:02:00,14,,
37,5/18/17,1:02:00,14,,
38,5/18/17,2:02:00,13.5,,
39,5/18/17,3:02:00,13.5,,
40,5/18/17,4:02:00,13.5,,
41,5/18/17,5:02:00,13.5,,
42,5/18/17,6:02:00,13,,
43,5/18/17,7:02:00,13,,
44,5/18/17,8:02:00,13,,
45,5/18/17,9:02:00,13,,
46,5/18/17,10:02:00,13,,
47,5/18/17,11:02:00,13.5,,
48,5/18/17,12:02:00,13.5,,
49,5/18/17,13:02:00,14,,
50,5/18/17,14:02:00,14.5,,
51,5/18/17,15:02:00,14.5,,
52,5/18/17,16:02:00,15,,
53,5/18/17,17:02:00,15.5,,
54,5/18/17,18:02:00,15.5,,
55,5/18/17,19:02:00,15.5,,
56,5/18/17,20:02:00,15.5,,
57,5/18/17,21:02:00,15,,
58,5/18/17,22:02:00,15,,
59,5/18/17,23:02:00,15,,
60,5/19/17,0:02:00,15,,
61,5/19/17,1:02:00,14.5,,
62,5/19/17,2:02:00,14.5,,
63,5/19/17,3:02:00,14.5,,
64,5/19/17,4:02:00,14.5,,
65,5/19/17,5:02:00,14.5,,
66,5/19/17,6:02:00,14.5,,
67,5/19/17,7:02:00,14,,
68,5/19/17,8:02:00,14,,
69,5/19/17,9:02:00,14,,
