,Date,Time,Temp C,,Site6-0
1,5/16/17,13:02:00,32.5,,
2,5/16/17,14:02:00,31,,
3,5/16/17,15:02:00,24.5,,
4,5/16/17,16:02:00,26,,
5,5/16/17,17:02:00,24.5,,
6,5/16/17,18:02:00,23.5,,
7,5/16/17,19:02:00,21,,
8,5/16/17,20:02:00,19,,
9,5/16/17,21:02:00,16,,
10,5/16/17,22:02:00,13.5,,
11,5/16/17,23:02:00,12,,
12,5/17/17,0:02:00,11,,
13,5/17/17,1:02:00,10,,
14,5/17/17,2:02:00,9.5,,
15,5/17/17,3:02:00,9,,
16,5/17/17,4:02:00,9.5,,
17,5/17/17,5:02:00,10.5,,
18,5/17/17,6:02:00,13,,
19,5/17/17,7:02:00,15,,
20,5/17/17,8:02:00,17.5,,
21,5/17/17,9:02:00,20,,
22,5/17/17,10:02:00,23,,
23,5/17/17,11:02:00,25,,
24,5/17/17,12:02:00,29,,
25,5/17/17,13:02:00,30.5,,
26,5/17/17,14:02:00,28.5,,
27,5/17/17,15:02:00,32.5,,
28,5/17/17,16:02:00,30,,
29,5/17/17,17:02:00,28,,
30,5/17/17,18:02:00,26.5,,
31,5/17/17,19:02:00,23.5,,
32,5/17/17,20:02:00,21,,
33,5/17/17,21:02:00,19,,
34,5/17/17,22:02:00,17.5,,
35,5/17/17,23:02:00,16,,
36,5/18/17,0:02:00,15,,
37,5/18/17,1:02:00,14,,
38,5/18/17,2:02:00,13.5,,
39,5/18/17,3:02:00,12.5,,
40,5/18/17,4:02:00,12,,
41,5/18/17,5:02:00,12,,
42,5/18/17,6:02:00,12,,
43,5/18/17,7:02:00,12.5,,
44,5/18/17,8:02:00,15.5,,
45,5/18/17,9:02:00,20.5,,
46,5/18/17,10:02:00,23,,
47,5/18/17,11:02:00,24,,
48,5/18/17,12:02:00,26,,
49,5/18/17,13:02:00,29,,
50,5/18/17,14:02:00,28,,
51,5/18/17,15:02:00,30,,
52,5/18/17,16:02:00,28,,
53,5/18/17,17:02:00,26.5,,
54,5/18/17,18:02:00,25,,
55,5/18/17,19:02:00,23.5,,
56,5/18/17,20:02:00,22,,
57,5/18/17,21:02:00,20,,
58,5/18/17,22:02:00,18.5,,
59,5/18/17,23:02:00,17.5,,
60,5/19/17,0:02:00,17.5,,
61,5/19/17,1:02:00,17.5,,
62,5/19/17,2:02:00,17,,
63,5/19/17,3:02:00,17,,
64,5/19/17,4:02:00,16.5,,
