,Date,Time,Temp C,,Site5-50
1,5/16/17,13:01:00,30,,
2,5/16/17,14:01:00,29.5,,
3,5/16/17,15:01:00,11.5,,
4,5/16/17,16:01:00,8.5,,
5,5/16/17,17:01:00,8.5,,
6,5/16/17,18:01:00,8.5,,
7,5/16/17,19:01:00,8.5,,
8,5/16/17,20:01:00,8.5,,
9,5/16/17,21:01:00,8.5,,
10,5/16/17,22:01:00,8.5,,
11,5/16/17,23:01:00,8.5,,
12,5/17/17,0:01:00,8.5,,
13,5/17/17,1:01:00,8.5,,
14,5/17/17,2:01:00,8.5,,
15,5/17/17,3:01:00,8.5,,
16,5/17/17,4:01:00,8.5,,
17,5/17/17,5:01:00,8.5,,
18,5/17/17,6:01:00,8.5,,
19,5/17/17,7:01:00,8.5,,
20,5/17/17,8:01:00,8.5,,
21,5/17/17,9:01:00,8.5,,
22,5/17/17,10:01:00,8.5,,
23,5/17/17,11:01:00,9,,
24,5/17/17,12:01:00,8.5,,
25,5/17/17,13:01:00,9,,
26,5/17/17,14:01:00,9,,
27,5/17/17,15:01:00,9,,
28,5/17/17,16:01:00,9,,
29,5/17/17,17:01:00,9,,
30,5/17/17,18:01:00,9,,
31,5/17/17,19:01:00,9,,
32,5/17/17,20:01:00,9,,
33,5/17/17,21:01:00,9,,
34,5/17/17,22:01:00,9,,
35,5/17/17,23:01:00,9,,
36,5/18/17,0:01:00,9,,
37,5/18/17,1:01:00,9,,
38,5/18/17,2:01:00,9,,
39,5/18/17,3:01:00,9,,
40,5/18/17,4:01:00,9,,
41,5/18/17,5:01:00,9,,
42,5/18/17,6:01:00,9,,
43,5/18/17,7:01:00,9,,
44,5/18/17,8:01:00,9,,
45,5/18/17,9:01:00,9,,
46,5/18/17,10:01:00,9,,
47,5/18/17,11:01:00,9,,
48,5/18/17,12:01:00,9,,
49,5/18/17,13:01:00,9,,
50,5/18/17,14:01:00,9,,
51,5/18/17,15:01:00,9,,
52,5/18/17,16:01:00,9.5,,
53,5/18/17,17:01:00,9.5,,
54,5/18/17,18:01:00,9.5,,
55,5/18/17,19:01:00,9.5,,
56,5/18/17,20:01:00,9.5,,
57,5/18/17,21:01:00,9.5,,
58,5/18/17,22:01:00,9.5,,
59,5/18/17,23:01:00,9.5,,
60,5/19/17,0:01:00,9.5,,
61,5/19/17,1:01:00,9.5,,
62,5/19/17,2:01:00,9.5,,
63,5/19/17,3:01:00,9.5,,
64,5/19/17,4:01:00,9.5,,
65,5/19/17,5:01:00,9.5,,
66,5/19/17,6:01:00,9.5,,
67,5/19/17,7:01:00,9.5,,
68,5/19/17,8:01:00,9.5,,
69,5/19/17,9:01:00,9.5,,
70,5/19/17,10:01:00,9.5,,
71,5/19/17,11:01:00,9.5,,
72,5/19/17,12:01:00,9.5,,
73,5/19/17,13:01:00,9.5,,
74,5/19/17,14:01:00,9.5,,
75,5/19/17,15:01:00,9.5,,
76,5/19/17,16:01:00,9.5,,
77,5/19/17,17:01:00,10,,
78,5/19/17,18:01:00,9.5,,
79,5/19/17,19:01:00,10,,
