1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EF0000002E694A21
Is Mission Active?  false
Mission Start:  Sat Dec 16 12:01:00 EST 2017
Sample Rate:  Every 120 minute(s)
Number of Mission Samples:  2006
Total Samples:  88102
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
12/28/17 4:01:00 PM,C,2
12/28/17 6:01:00 PM,C,2
12/28/17 8:01:00 PM,C,2
12/28/17 10:01:00 PM,C,2
12/29/17 12:01:00 AM,C,2
12/29/17 2:01:00 AM,C,2
12/29/17 4:01:00 AM,C,2
12/29/17 6:01:00 AM,C,2
12/29/17 8:01:00 AM,C,2
12/29/17 10:01:00 AM,C,1.5
12/29/17 12:01:00 PM,C,1.5
12/29/17 2:01:00 PM,C,1.5
12/29/17 4:01:00 PM,C,1.5
12/29/17 6:01:00 PM,C,1.5
12/29/17 8:01:00 PM,C,1.5
12/29/17 10:01:00 PM,C,1.5
12/30/17 12:01:00 AM,C,1.5
12/30/17 2:01:00 AM,C,1.5
12/30/17 4:01:00 AM,C,1.5
12/30/17 6:01:00 AM,C,1.5
12/30/17 8:01:00 AM,C,1.5
12/30/17 10:01:00 AM,C,1.5
12/30/17 12:01:00 PM,C,1.5
12/30/17 2:01:00 PM,C,1.5
12/30/17 4:01:00 PM,C,1.5
12/30/17 6:01:00 PM,C,1.5
12/30/17 8:01:00 PM,C,1.5
12/30/17 10:01:00 PM,C,1.5
12/31/17 12:01:00 AM,C,1.5
12/31/17 2:01:00 AM,C,1.5
12/31/17 4:01:00 AM,C,1.5
12/31/17 6:01:00 AM,C,1.5
12/31/17 8:01:00 AM,C,1.5
12/31/17 10:01:00 AM,C,1.5
12/31/17 12:01:00 PM,C,1.5
12/31/17 2:01:00 PM,C,1.5
12/31/17 4:01:00 PM,C,1.5
12/31/17 6:01:00 PM,C,1.5
12/31/17 8:01:00 PM,C,1.5
12/31/17 10:01:00 PM,C,1.5
1/1/18 12:01:00 AM,C,1.5
1/1/18 2:01:00 AM,C,1.5
1/1/18 4:01:00 AM,C,1.5
1/1/18 6:01:00 AM,C,1.5
1/1/18 8:01:00 AM,C,1.5
1/1/18 10:01:00 AM,C,1.5
1/1/18 12:01:00 PM,C,1.5
1/1/18 2:01:00 PM,C,1.5
1/1/18 4:01:00 PM,C,1
1/1/18 6:01:00 PM,C,1
1/1/18 8:01:00 PM,C,1
1/1/18 10:01:00 PM,C,1
1/2/18 12:01:00 AM,C,1
1/2/18 2:01:00 AM,C,1
1/2/18 4:01:00 AM,C,1
1/2/18 6:01:00 AM,C,1
1/2/18 8:01:00 AM,C,1
1/2/18 10:01:00 AM,C,1
1/2/18 12:01:00 PM,C,1
1/2/18 2:01:00 PM,C,1
1/2/18 4:01:00 PM,C,1
1/2/18 6:01:00 PM,C,1
1/2/18 8:01:00 PM,C,1
1/2/18 10:01:00 PM,C,1
1/3/18 12:01:00 AM,C,1
1/3/18 2:01:00 AM,C,1
1/3/18 4:01:00 AM,C,1
1/3/18 6:01:00 AM,C,1
1/3/18 8:01:00 AM,C,1
1/3/18 10:01:00 AM,C,1
1/3/18 12:01:00 PM,C,1
1/3/18 2:01:00 PM,C,1
1/3/18 4:01:00 PM,C,1
1/3/18 6:01:00 PM,C,1
1/3/18 8:01:00 PM,C,1
1/3/18 10:01:00 PM,C,1
1/4/18 12:01:00 AM,C,1
1/4/18 2:01:00 AM,C,1
1/4/18 4:01:00 AM,C,1
1/4/18 6:01:00 AM,C,1
1/4/18 8:01:00 AM,C,1
1/4/18 10:01:00 AM,C,1
1/4/18 12:01:00 PM,C,1
1/4/18 2:01:00 PM,C,1
1/4/18 4:01:00 PM,C,1
1/4/18 6:01:00 PM,C,1
1/4/18 8:01:00 PM,C,1
1/4/18 10:01:00 PM,C,1
1/5/18 12:01:00 AM,C,1
1/5/18 2:01:00 AM,C,1
1/5/18 4:01:00 AM,C,1
1/5/18 6:01:00 AM,C,1
1/5/18 8:01:00 AM,C,1
1/5/18 10:01:00 AM,C,1
1/5/18 12:01:00 PM,C,1
1/5/18 2:01:00 PM,C,0.5
1/5/18 4:01:00 PM,C,0.5
1/5/18 6:01:00 PM,C,0.5
1/5/18 8:01:00 PM,C,0.5
1/5/18 10:01:00 PM,C,0.5
1/6/18 12:01:00 AM,C,0.5
1/6/18 2:01:00 AM,C,0.5
1/6/18 4:01:00 AM,C,0.5
1/6/18 6:01:00 AM,C,0.5
1/6/18 8:01:00 AM,C,0.5
1/6/18 10:01:00 AM,C,0.5
1/6/18 12:01:00 PM,C,0.5
1/6/18 2:01:00 PM,C,0.5
1/6/18 4:01:00 PM,C,0.5
1/6/18 6:01:00 PM,C,0.5
1/6/18 8:01:00 PM,C,0.5
1/6/18 10:01:00 PM,C,0.5
1/7/18 12:01:00 AM,C,0.5
1/7/18 2:01:00 AM,C,0.5
1/7/18 4:01:00 AM,C,0.5
1/7/18 6:01:00 AM,C,0.5
1/7/18 8:01:00 AM,C,0.5
1/7/18 10:01:00 AM,C,0.5
1/7/18 12:01:00 PM,C,0.5
1/7/18 2:01:00 PM,C,0.5
1/7/18 4:01:00 PM,C,0.5
1/7/18 6:01:00 PM,C,0.5
1/7/18 8:01:00 PM,C,0.5
1/7/18 10:01:00 PM,C,0.5
1/8/18 12:01:00 AM,C,0.5
1/8/18 2:01:00 AM,C,0.5
1/8/18 4:01:00 AM,C,0.5
1/8/18 6:01:00 AM,C,0.5
1/8/18 8:01:00 AM,C,0.5
1/8/18 10:01:00 AM,C,0.5
1/8/18 12:01:00 PM,C,0.5
1/8/18 2:01:00 PM,C,0.5
1/8/18 4:01:00 PM,C,0.5
1/8/18 6:01:00 PM,C,0.5
1/8/18 8:01:00 PM,C,0.5
1/8/18 10:01:00 PM,C,0.5
1/9/18 12:01:00 AM,C,0.5
1/9/18 2:01:00 AM,C,0.5
1/9/18 4:01:00 AM,C,0.5
1/9/18 6:01:00 AM,C,0.5
1/9/18 8:01:00 AM,C,0.5
1/9/18 10:01:00 AM,C,0.5
1/9/18 12:01:00 PM,C,0.5
1/9/18 2:01:00 PM,C,0.5
1/9/18 4:01:00 PM,C,0.5
1/9/18 6:01:00 PM,C,0.5
1/9/18 8:01:00 PM,C,0.5
1/9/18 10:01:00 PM,C,1
1/10/18 12:01:00 AM,C,1
1/10/18 2:01:00 AM,C,1
1/10/18 4:01:00 AM,C,1
1/10/18 6:01:00 AM,C,1
1/10/18 8:01:00 AM,C,1
1/10/18 10:01:00 AM,C,1
1/10/18 12:01:00 PM,C,1
1/10/18 2:01:00 PM,C,1
1/10/18 4:01:00 PM,C,1
1/10/18 6:01:00 PM,C,1
1/10/18 8:01:00 PM,C,1
1/10/18 10:01:00 PM,C,1
1/11/18 12:01:00 AM,C,1
1/11/18 2:01:00 AM,C,1
1/11/18 4:01:00 AM,C,1
1/11/18 6:01:00 AM,C,1
1/11/18 8:01:00 AM,C,1
1/11/18 10:01:00 AM,C,1
1/11/18 12:01:00 PM,C,1
1/11/18 2:01:00 PM,C,1
1/11/18 4:01:00 PM,C,1
1/11/18 6:01:00 PM,C,1
1/11/18 8:01:00 PM,C,1
1/11/18 10:01:00 PM,C,1
1/12/18 12:01:00 AM,C,1
1/12/18 2:01:00 AM,C,1
1/12/18 4:01:00 AM,C,1
1/12/18 6:01:00 AM,C,1
1/12/18 8:01:00 AM,C,1
1/12/18 10:01:00 AM,C,1.5
1/12/18 12:01:00 PM,C,2
1/12/18 2:01:00 PM,C,2.5
1/12/18 4:01:00 PM,C,3.5
1/12/18 6:01:00 PM,C,4
1/12/18 8:01:00 PM,C,5
1/12/18 10:01:00 PM,C,5
1/13/18 12:01:00 AM,C,4.5
1/13/18 2:01:00 AM,C,4
1/13/18 4:01:00 AM,C,4
1/13/18 6:01:00 AM,C,3.5
1/13/18 8:01:00 AM,C,3.5
1/13/18 10:01:00 AM,C,3
1/13/18 12:01:00 PM,C,3
1/13/18 2:01:00 PM,C,3
1/13/18 4:01:00 PM,C,3
1/13/18 6:01:00 PM,C,2.5
1/13/18 8:01:00 PM,C,2.5
1/13/18 10:01:00 PM,C,2.5
1/14/18 12:01:00 AM,C,2.5
1/14/18 2:01:00 AM,C,2.5
1/14/18 4:01:00 AM,C,2
1/14/18 6:01:00 AM,C,2
1/14/18 8:01:00 AM,C,2
1/14/18 10:01:00 AM,C,2
1/14/18 12:01:00 PM,C,2
1/14/18 2:01:00 PM,C,2
1/14/18 4:01:00 PM,C,2
1/14/18 6:01:00 PM,C,1.5
1/14/18 8:01:00 PM,C,1.5
