,Date,Time,Temp C,,Site6-10
1,5/16/17,13:01:00,27,,
2,5/16/17,14:01:00,30.5,,
3,5/16/17,15:01:00,25,,
4,5/16/17,16:01:00,26,,
5,5/16/17,17:01:00,23.5,,
6,5/16/17,18:01:00,22.5,,
7,5/16/17,19:01:00,20,,
8,5/16/17,20:01:00,18.5,,
9,5/16/17,21:01:00,15.5,,
10,5/16/17,22:01:00,13.5,,
11,5/16/17,23:01:00,12,,
12,5/17/17,0:01:00,11,,
13,5/17/17,1:01:00,10.5,,
14,5/17/17,2:01:00,9.5,,
15,5/17/17,3:01:00,9.5,,
16,5/17/17,4:01:00,9.5,,
17,5/17/17,5:01:00,10.5,,
18,5/17/17,6:01:00,12.5,,
19,5/17/17,7:01:00,14.5,,
20,5/17/17,8:01:00,16.5,,
21,5/17/17,9:01:00,19,,
22,5/17/17,10:01:00,22,,
23,5/17/17,11:01:00,23.5,,
24,5/17/17,12:01:00,30,,
25,5/17/17,13:01:00,33,,
26,5/17/17,14:01:00,29,,
27,5/17/17,15:01:00,35,,
28,5/17/17,16:01:00,30.5,,
29,5/17/17,17:01:00,27.5,,
30,5/17/17,18:01:00,25.5,,
31,5/17/17,19:01:00,23,,
32,5/17/17,20:01:00,20.5,,
33,5/17/17,21:01:00,19,,
34,5/17/17,22:01:00,17.5,,
35,5/17/17,23:01:00,16,,
36,5/18/17,0:01:00,15,,
37,5/18/17,1:01:00,14,,
38,5/18/17,2:01:00,13.5,,
39,5/18/17,3:01:00,12.5,,
40,5/18/17,4:01:00,12,,
41,5/18/17,5:01:00,12,,
42,5/18/17,6:01:00,12,,
43,5/18/17,7:01:00,13,,
44,5/18/17,8:01:00,15.5,,
45,5/18/17,9:01:00,20,,
46,5/18/17,10:01:00,22.5,,
47,5/18/17,11:01:00,23.5,,
48,5/18/17,12:01:00,27,,
49,5/18/17,13:01:00,31,,
50,5/18/17,14:01:00,28,,
51,5/18/17,15:01:00,32,,
52,5/18/17,16:01:00,28.5,,
53,5/18/17,17:01:00,26,,
54,5/18/17,18:01:00,24.5,,
55,5/18/17,19:01:00,23,,
56,5/18/17,20:01:00,21.5,,
57,5/18/17,21:01:00,20,,
58,5/18/17,22:01:00,18.5,,
59,5/18/17,23:01:00,17.5,,
60,5/19/17,0:01:00,17,,
61,5/19/17,1:01:00,17.5,,
62,5/19/17,2:01:00,17,,
63,5/19/17,3:01:00,16.5,,
64,5/19/17,4:01:00,16.5,,
65,5/19/17,5:01:00,16,,
66,5/19/17,6:01:00,16.5,,
67,5/19/17,7:01:00,16.5,,
68,5/19/17,8:01:00,17.5,,
69,5/19/17,9:01:00,19,,
70,5/19/17,10:01:00,21.5,,
71,5/19/17,11:01:00,21.5,,
72,5/19/17,12:01:00,25,,
73,5/19/17,13:01:00,26,,
74,5/19/17,14:01:00,27,,
75,5/19/17,15:01:00,27,,
76,5/19/17,16:01:00,27,,
77,5/19/17,17:01:00,23,,
78,5/19/17,18:01:00,20.5,,
79,5/19/17,19:01:00,20,,
80,5/19/17,20:01:00,18.5,,
81,5/19/17,21:01:00,17,,
82,5/19/17,22:01:00,16.5,,
83,5/19/17,23:01:00,15.5,,
84,5/20/17,0:01:00,15,,
85,5/20/17,1:01:00,15,,
86,5/20/17,2:01:00,15.5,,
87,5/20/17,3:01:00,14.5,,
88,5/20/17,4:01:00,14.5,,
89,5/20/17,5:01:00,14.5,,
90,5/20/17,6:01:00,14.5,,
91,5/20/17,7:01:00,15,,
92,5/20/17,8:01:00,16,,
93,5/20/17,9:01:00,17,,
94,5/20/17,10:01:00,15.5,,
95,5/20/17,11:01:00,15,,
96,5/20/17,12:01:00,15.5,,
97,5/20/17,13:01:00,16.5,,
98,5/20/17,14:01:00,20,,
99,5/20/17,15:01:00,22,,
100,5/20/17,16:01:00,18.5,,
101,5/20/17,17:01:00,17,,
102,5/20/17,18:01:00,15,,
103,5/20/17,19:01:00,13.5,,
104,5/20/17,20:01:00,12.5,,
105,5/20/17,21:01:00,12,,
106,5/20/17,22:01:00,11.5,,
107,5/20/17,23:01:00,11,,
108,5/21/17,0:01:00,11.5,,
109,5/21/17,1:01:00,11.5,,
110,5/21/17,2:01:00,11.5,,
111,5/21/17,3:01:00,11,,
112,5/21/17,4:01:00,10.5,,
113,5/21/17,5:01:00,10.5,,
114,5/21/17,6:01:00,10.5,,
115,5/21/17,7:01:00,10.5,,
116,5/21/17,8:01:00,11,,
117,5/21/17,9:01:00,11,,
118,5/21/17,10:01:00,11,,
119,5/21/17,11:01:00,11.5,,
120,5/21/17,12:01:00,12,,
121,5/21/17,13:01:00,13,,
122,5/21/17,14:01:00,13.5,,
123,5/21/17,15:01:00,13.5,,
124,5/21/17,16:01:00,14,,
125,5/21/17,17:01:00,13.5,,
126,5/21/17,18:01:00,13,,
127,5/21/17,19:01:00,11.5,,
128,5/21/17,20:01:00,11,,
129,5/21/17,21:01:00,11,,
130,5/21/17,22:01:00,11,,
131,5/21/17,23:01:00,11,,
132,5/22/17,0:01:00,11.5,,
