1-Wire/iButton Part Number: DS1921G-F5,,
1-Wire/iButton Registration Number: 800000002E7E0B21,,
Is Mission Active?  false,,
Mission Start:  Sat Dec 16 12:01:00 EST 2017,,
Sample Rate:  Every 120 minute(s),,
Number of Mission Samples:  2006,,
Total Samples:  88095,,
Roll Over Enabled?  false,,
Roll Over Occurred?  Roll over has NOT occurred,,
Active Alarms:  None fired,,
Next Clock Alarm At:  Disabled,,
High Temperature Alarm:  85 �C,,
Low Temperature Alarm:  -40 �C,,
,,
Date/Time,Unit,Value
12/30/17 10:01,C,0.5
12/30/17 12:01,C,0.5
12/30/17 14:01,C,0.5
12/30/17 16:01,C,0.5
12/30/17 18:01,C,0.5
12/30/17 20:01,C,0.5
12/30/17 22:01,C,0.5
12/31/17 0:01,C,0.5
12/31/17 2:01,C,0.5
12/31/17 4:01,C,0.5
12/31/17 6:01,C,0.5
12/31/17 8:01,C,0.5
12/31/17 10:01,C,0.5
12/31/17 12:01,C,0
12/31/17 14:01,C,0
12/31/17 16:01,C,0
12/31/17 18:01,C,0
12/31/17 20:01,C,0
12/31/17 22:01,C,0
1/1/18 0:01,C,0
1/1/18 2:01,C,0
1/1/18 4:01,C,0
1/1/18 6:01,C,0
1/1/18 8:01,C,0
1/1/18 10:01,C,0
1/1/18 12:01,C,0
1/1/18 14:01,C,0
1/1/18 16:01,C,0
1/1/18 18:01,C,0
1/1/18 20:01,C,0
1/1/18 22:01,C,0
1/2/18 0:01,C,0
1/2/18 2:01,C,0
1/2/18 4:01,C,0
1/2/18 6:01,C,0
1/2/18 8:01,C,0
1/2/18 10:01,C,0
1/2/18 12:01,C,0
1/2/18 14:01,C,0
1/2/18 16:01,C,0
1/2/18 18:01,C,0
1/2/18 20:01,C,0
1/2/18 22:01,C,0
1/3/18 0:01,C,0
1/3/18 2:01,C,0
1/3/18 4:01,C,0
1/3/18 6:01,C,0
1/3/18 8:01,C,0
1/3/18 10:01,C,0
1/3/18 12:01,C,0
1/3/18 14:01,C,0
1/3/18 16:01,C,0
1/3/18 18:01,C,0
1/3/18 20:01,C,0
1/3/18 22:01,C,0
1/4/18 0:01,C,0
1/4/18 2:01,C,0
1/4/18 4:01,C,0
1/4/18 6:01,C,0
1/4/18 8:01,C,0
1/4/18 10:01,C,0
1/4/18 12:01,C,0
1/4/18 14:01,C,0
1/4/18 16:01,C,0
1/4/18 18:01,C,0
1/4/18 20:01,C,0
1/4/18 22:01,C,0
1/5/18 0:01,C,0
1/5/18 2:01,C,0
1/5/18 4:01,C,0
1/5/18 6:01,C,0
1/5/18 8:01,C,0
1/5/18 10:01,C,0
1/5/18 12:01,C,0
1/5/18 14:01,C,0
1/5/18 16:01,C,0
1/5/18 18:01,C,0
1/5/18 20:01,C,0
1/5/18 22:01,C,0
1/6/18 0:01,C,0
1/6/18 2:01,C,0
1/6/18 4:01,C,0
1/6/18 6:01,C,0
1/6/18 8:01,C,0
1/6/18 10:01,C,0
1/6/18 12:01,C,0
1/6/18 14:01,C,0
1/6/18 16:01,C,0
1/6/18 18:01,C,0
1/6/18 20:01,C,0
1/6/18 22:01,C,0
1/7/18 0:01,C,0
1/7/18 2:01,C,0
1/7/18 4:01,C,0
