12/16/17 12:01	C	0.5			Site 1	Clipped at 5-25-18 12:00
12/16/17 14:01	C	0.5				
12/16/17 16:01	C	0.5				
12/16/17 18:01	C	-1.5				
12/16/17 20:01	C	-1.5				
12/16/17 22:01	C	-1				
12/17/17 0:01	C	0				
12/17/17 2:01	C	-0.5				
12/17/17 4:01	C	-2				
12/17/17 6:01	C	-2.5				
12/17/17 8:01	C	-2.5				
12/17/17 10:01	C	-0.5				
12/17/17 12:01	C	1				
12/17/17 14:01	C	1.5				
12/17/17 16:01	C	0				
12/17/17 18:01	C	-0.5				
12/17/17 20:01	C	-0.5				
12/17/17 22:01	C	-0.5				
12/18/17 0:01	C	-0.5				
12/18/17 2:01	C	0				
12/18/17 4:01	C	0				
12/18/17 6:01	C	0				
12/18/17 8:01	C	0				
12/18/17 10:01	C	0.5				
12/18/17 12:01	C	1				
12/18/17 14:01	C	1				
12/18/17 16:01	C	1.5				
12/18/17 18:01	C	1.5				
12/18/17 20:01	C	1.5				
12/18/17 22:01	C	2.5				
12/19/17 0:01	C	3				
12/19/17 2:01	C	4				
12/19/17 4:01	C	3.5				
12/19/17 6:01	C	3				
12/19/17 8:01	C	3				
12/19/17 10:01	C	3.5				
12/19/17 12:01	C	5.5				
12/19/17 14:01	C	6.5				
12/19/17 16:01	C	5.5				
12/19/17 18:01	C	4.5				
12/19/17 20:01	C	5				
12/19/17 22:01	C	4.5				
12/20/17 0:01	C	3				
12/20/17 2:01	C	2				
12/20/17 4:01	C	1.5				
12/20/17 6:01	C	1				
12/20/17 8:01	C	0.5				
12/20/17 10:01	C	1				
12/20/17 12:01	C	2				
12/20/17 14:01	C	3				
12/20/17 16:01	C	2				
12/20/17 18:01	C	-2.5				
12/20/17 20:01	C	-3.5				
12/20/17 22:01	C	-4				
12/21/17 0:01	C	-5				
12/21/17 2:01	C	-5.5				
12/21/17 4:01	C	-4.5				
12/21/17 6:01	C	-5.5				
12/21/17 8:01	C	-6.5				
12/21/17 10:01	C	-3				
12/21/17 12:01	C	1.5				
12/21/17 14:01	C	3				
12/21/17 16:01	C	1				
12/21/17 18:01	C	-1.5				
12/21/17 20:01	C	-2				
12/21/17 22:01	C	-0.5				
12/22/17 0:01	C	-1				
12/22/17 2:01	C	-0.5				
12/22/17 4:01	C	0				
12/22/17 6:01	C	0				
12/22/17 8:01	C	0.5				
12/22/17 10:01	C	2.5				
