date_time,date,time,temp_C,,,
5/16/17 13:02,5/16/17,13:02,29,,,
5/16/17 14:02,5/16/17,14:02,34,,,
5/16/17 15:02,5/16/17,15:02,31,,,
5/16/17 16:02,5/16/17,16:02,27.5,,,
5/16/17 17:02,5/16/17,17:02,29.5,,,
5/16/17 18:02,5/16/17,18:02,25,,,
5/16/17 19:02,5/16/17,19:02,22,,,
5/16/17 20:02,5/16/17,20:02,19,,,
5/16/17 21:02,5/16/17,21:02,16,,,
5/16/17 22:02,5/16/17,22:02,14,,,
5/16/17 23:02,5/16/17,23:02,12,,,
5/17/17 0:02,5/17/17,0:02,11,,,
5/17/17 1:02,5/17/17,1:02,10,,,
5/17/17 2:02,5/17/17,2:02,9.5,,,
5/17/17 3:02,5/17/17,3:02,9,,,
5/17/17 4:02,5/17/17,4:02,9.5,,,
5/17/17 5:02,5/17/17,5:02,10,,,
5/17/17 6:02,5/17/17,6:02,11,,,
5/17/17 7:02,5/17/17,7:02,14,,,
5/17/17 8:02,5/17/17,8:02,17.5,,,
5/17/17 9:02,5/17/17,9:02,20.5,,,
5/17/17 10:02,5/17/17,10:02,23.5,,,
5/17/17 11:02,5/17/17,11:02,27,,,
5/17/17 12:02,5/17/17,12:02,28,,,
5/17/17 13:02,5/17/17,13:02,31.5,,,
5/17/17 14:02,5/17/17,14:02,32,,,
5/17/17 15:02,5/17/17,15:02,32.5,,,
5/17/17 16:02,5/17/17,16:02,32,,,
5/17/17 17:02,5/17/17,17:02,32,,,
5/17/17 18:02,5/17/17,18:02,27.5,,,
5/17/17 19:02,5/17/17,19:02,24.5,,,
5/17/17 20:02,5/17/17,20:02,21.5,,,
5/17/17 21:02,5/17/17,21:02,19.5,,,
5/17/17 22:02,5/17/17,22:02,18,,,
5/17/17 23:02,5/17/17,23:02,16.5,,,
5/18/17 0:02,5/18/17,0:02,15,,,
5/18/17 1:02,5/18/17,1:02,14,,,
5/18/17 2:02,5/18/17,2:02,13.5,,,
5/18/17 3:02,5/18/17,3:02,12.5,,,
5/18/17 4:02,5/18/17,4:02,12,,,
5/18/17 5:02,5/18/17,5:02,12.5,,,
5/18/17 6:02,5/18/17,6:02,12,,,
5/18/17 7:02,5/18/17,7:02,13,,,
5/18/17 8:02,5/18/17,8:02,15.5,,,
5/18/17 9:02,5/18/17,9:02,21,,,
5/18/17 10:02,5/18/17,10:02,24,,,
5/18/17 11:02,5/18/17,11:02,25.5,,,
5/18/17 12:02,5/18/17,12:02,26.5,,,
5/18/17 13:02,5/18/17,13:02,30.5,,,
5/18/17 14:02,5/18/17,14:02,31,,,
5/18/17 15:02,5/18/17,15:02,30.5,,,
5/18/17 16:02,5/18/17,16:02,29.5,,,
5/18/17 17:02,5/18/17,17:02,30,,,
5/18/17 18:02,5/18/17,18:02,26,,,
5/18/17 19:02,5/18/17,19:02,24.5,,,
5/18/17 20:02,5/18/17,20:02,23,,,
5/18/17 21:02,5/18/17,21:02,21,,,
5/18/17 22:02,5/18/17,22:02,19,,,
5/18/17 23:02,5/18/17,23:02,18,,,
5/19/17 0:02,5/19/17,0:02,18,,,
5/19/17 1:02,5/19/17,1:02,18.5,,,
5/19/17 2:02,5/19/17,2:02,17.5,,,
