Plot Title: 2,,,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20153876, SEN S/N: 20153876, LBL: Temp)","Intensity, Lux (LGR S/N: 20153876, SEN S/N: 20153876, LBL: Light)",Bad Battery (LGR S/N: 20153876),Good Battery (LGR S/N: 20153876),Coupler Attached (LGR S/N: 20153876),Host Connected (LGR S/N: 20153876),Stopped (LGR S/N: 20153876),End Of File (LGR S/N: 20153876)
1,12/16/17 20:00,-0.887,0,,,,,,
2,12/17/17 0:00,0.453,0,,,,,,
3,12/17/17 4:00,-1.341,0,,,,,,
4,12/17/17 8:00,-1.341,914.9,,,,,,
5,12/17/17 12:00,2.943,5338.9,,,,,,
6,12/17/17 16:00,1.221,861.1,,,,,,
7,12/17/17 20:00,0.121,0,,,,,,
8,12/18/17 0:00,0.121,0,,,,,,
9,12/18/17 4:00,0.784,0,,,,,,
10,12/18/17 8:00,0.784,215.3,,,,,,
11,12/18/17 12:00,3.261,3961.1,,,,,,
12,12/18/17 16:00,3.261,635.1,,,,,,
13,12/18/17 20:00,2.943,0,,,,,,
14,12/19/17 0:00,3.998,0,,,,,,
15,12/19/17 4:00,4.207,0,,,,,,
16,12/19/17 8:00,3.998,258.3,,,,,,
17,12/19/17 12:00,7.983,9644.5,,,,,,
18,12/19/17 16:00,6.674,742.7,,,,,,
19,12/19/17 20:00,5.962,0,,,,,,
20,12/20/17 0:00,3.998,0,,,,,,
21,12/20/17 4:00,2.195,0,,,,,,
22,12/20/17 8:00,1.112,592,,,,,,
23,12/20/17 12:00,4.415,10677.8,,,,,,
24,12/20/17 16:00,3.261,2497.2,,,,,,
25,12/20/17 20:00,-2.61,0,,,,,,
26,12/21/17 0:00,-4.393,0,,,,,,
27,12/21/17 4:00,-3.434,0,,,,,,
28,12/21/17 8:00,-5.496,581.3,,,,,,
29,12/21/17 12:00,3.683,10333.4,,,,,,
30,12/21/17 16:00,2.195,3444.5,,,,,,
31,12/21/17 20:00,-1.456,0,,,,,,
32,12/22/17 0:00,-0.774,0,,,,,,
33,12/22/17 4:00,0.674,0,,,,,,
34,12/22/17 8:00,0.893,107.6,,,,,,
35,12/22/17 12:00,6.674,2669.5,,,,,,
36,12/22/17 16:00,8.879,484.4,,,,,,
37,12/22/17 20:00,7.481,0,,,,,,
38,12/23/17 0:00,7.179,0,,,,,,
39,12/23/17 4:00,6.877,0,,,,,,
40,12/23/17 8:00,8.182,484.4,,,,,,
41,12/23/17 12:00,8.481,785.8,,,,,,
42,12/23/17 16:00,5.347,366,,,,,,
43,12/23/17 20:00,0.893,0,,,,,,
44,12/24/17 0:00,-0.774,0,,,,,,
45,12/24/17 4:00,-1.114,0,,,,,,
46,12/24/17 8:00,-1.684,150.7,,,,,,
47,12/24/17 12:00,0.563,5338.9,,,,,,
48,12/24/17 16:00,-0.213,678.1,,,,,,
49,12/24/17 20:00,-1.114,0,,,,,,
50,12/25/17 0:00,-0.437,0,,,,,,
51,12/25/17 4:00,-4.031,0,,,,,,
52,12/25/17 8:00,-7.397,1194.8,,,,,,
