"Plot Title: sparcnet_air_plot_3"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20153865, SEN S/N: 20153865, LBL: Temp)","Intensity, Lux (LGR S/N: 20153865, SEN S/N: 20153865, LBL: Light)","Coupler Attached (LGR S/N: 20153865)","Host Connected (LGR S/N: 20153865)","Coupler Detached (LGR S/N: 20153865)","Stopped (LGR S/N: 20153865)","End Of File (LGR S/N: 20153865)"
99,07/28/19 04:00:00 AM,14.421,0.0,,,,,
100,07/28/19 08:00:00 AM,15.951,570.5,,,,,
101,07/28/19 12:00:00 PM,22.717,1808.3,,,,,
102,07/28/19 04:00:00 PM,24.931,4305.6,,,,,
103,07/28/19 08:00:00 PM,21.569,172.2,,,,,
104,07/29/19 12:00:00 AM,18.331,0.0,,,,,
105,07/29/19 04:00:00 AM,16.808,0.0,,,,,
106,07/29/19 08:00:00 AM,17.189,516.7,,,,,
107,07/29/19 12:00:00 PM,23.196,2497.2,,,,,
108,07/29/19 04:00:00 PM,24.545,4477.8,,,,,
109,07/29/19 08:00:00 PM,22.046,150.7,,,,,
110,07/30/19 12:00:00 AM,18.236,0.0,,,,,
111,07/30/19 04:00:00 AM,16.332,0.0,,,,,
112,07/30/19 08:00:00 AM,16.713,505.9,,,,,
113,07/30/19 12:00:00 PM,22.812,4305.6,,,,,
114,07/30/19 04:00:00 PM,21.378,3788.9,,,,,
115,07/30/19 08:00:00 PM,20.710,32.3,,,,,
116,07/31/19 12:00:00 AM,18.901,0.0,,,,,
117,07/31/19 04:00:00 AM,17.284,0.0,,,,,
118,07/31/19 08:00:00 AM,16.999,505.9,,,,,
119,07/31/19 12:00:00 PM,19.853,1550.0,,,,,
120,07/31/19 04:00:00 PM,19.377,2152.8,,,,,
121,07/31/19 08:00:00 PM,19.567,118.4,,,,,
122,08/01/19 12:00:00 AM,16.808,0.0,,,,,
123,08/01/19 04:00:00 AM,14.900,0.0,,,,,
124,08/01/19 08:00:00 AM,14.517,398.3,,,,,
125,08/01/19 12:00:00 PM,19.758,785.8,,,,,
126,08/01/19 04:00:00 PM,21.855,3961.1,,,,,
127,08/01/19 08:00:00 PM,20.234,107.6,,,,,
128,08/02/19 12:00:00 AM,18.045,0.0,,,,,
129,08/02/19 04:00:00 AM,16.141,0.0,,,,,
130,08/02/19 08:00:00 AM,16.332,549.0,,,,,
131,08/02/19 12:00:00 PM,20.234,3788.9,,,,,
132,08/02/19 04:00:00 PM,20.805,1894.5,,,,,
133,08/02/19 08:00:00 PM,18.616,43.1,,,,,
134,08/03/19 12:00:00 AM,17.570,0.0,,,,,
135,08/03/19 04:00:00 AM,15.855,0.0,,,,,
136,08/03/19 08:00:00 AM,15.473,495.1,,,,,
137,08/03/19 12:00:00 PM,21.378,2583.4,,,,,
138,08/03/19 04:00:00 PM,22.429,1463.9,,,,,
139,08/03/19 08:00:00 PM,20.234,118.4,,,,,
140,08/04/19 12:00:00 AM,16.903,0.0,,,,,
141,08/04/19 04:00:00 AM,15.187,0.0,,,,,
142,08/04/19 08:00:00 AM,14.421,592.0,,,,,
143,08/04/19 12:00:00 PM,20.805,3444.5,,,,,
144,08/04/19 04:00:00 PM,21.378,785.8,,,,,
145,08/04/19 08:00:00 PM,19.948,129.2,,,,,
146,08/05/19 12:00:00 AM,16.808,0.0,,,,,
147,08/05/19 04:00:00 AM,15.569,0.0,,,,,
148,08/05/19 08:00:00 AM,14.996,452.1,,,,,
149,08/05/19 12:00:00 PM,21.951,3788.9,,,,,
150,08/05/19 04:00:00 PM,20.138,839.6,,,,,
151,08/05/19 08:00:00 PM,18.901,64.6,,,,,
152,08/06/19 12:00:00 AM,17.094,0.0,,,,,
153,08/06/19 04:00:00 AM,15.569,0.0,,,,,
154,08/06/19 08:00:00 AM,14.996,398.3,,,,,
155,08/06/19 12:00:00 PM,20.615,3100.0,,,,,
156,08/06/19 04:00:00 PM,23.196,4133.4,,,,,
157,08/06/19 08:00:00 PM,20.615,53.8,,,,,
158,08/07/19 12:00:00 AM,18.331,0.0,,,,,
159,08/07/19 04:00:00 AM,17.189,0.0,,,,,
160,08/07/19 08:00:00 AM,17.379,183.0,,,,,
161,08/07/19 12:00:00 PM,18.236,1550.0,,,,,
162,08/07/19 04:00:00 PM,20.424,3444.5,,,,,
163,08/07/19 08:00:00 PM,19.282,32.3,,,,,
164,08/08/19 12:00:00 AM,16.618,0.0,,,,,
165,08/08/19 04:00:00 AM,15.378,0.0,,,,,
166,08/08/19 08:00:00 AM,16.713,473.6,,,,,
167,08/08/19 12:00:00 PM,21.664,3616.7,,,,,
168,08/08/19 04:00:00 PM,18.426,1722.2,,,,,
169,08/08/19 08:00:00 PM,18.426,96.9,,,,,
170,08/09/19 12:00:00 AM,17.760,0.0,,,,,
171,08/09/19 04:00:00 AM,17.094,0.0,,,,,
172,08/09/19 08:00:00 AM,17.855,322.9,,,,,
173,08/09/19 12:00:00 PM,20.329,731.9,,,,,
174,08/09/19 04:00:00 PM,22.429,4133.4,,,,,
175,08/09/19 08:00:00 PM,19.187,107.6,,,,,
176,08/10/19 12:00:00 AM,13.942,0.0,,,,,
177,08/10/19 04:00:00 AM,11.236,0.0,,,,,
178,08/10/19 08:00:00 AM,11.916,538.2,,,,,
179,08/10/19 12:00:00 PM,17.379,2583.4,,,,,
180,08/10/19 04:00:00 PM,20.901,4477.8,,,,,
181,08/10/19 08:00:00 PM,18.045,86.1,,,,,
182,08/11/19 12:00:00 AM,13.846,0.0,,,,,
183,08/11/19 04:00:00 AM,11.236,0.0,,,,,
184,08/11/19 08:00:00 AM,10.063,452.1,,,,,
185,08/11/19 12:00:00 PM,18.045,3272.2,,,,,
186,08/11/19 04:00:00 PM,21.378,3788.9,,,,,
187,08/11/19 08:00:00 PM,18.140,21.5,,,,,
188,08/12/19 12:00:00 AM,13.654,0.0,,,,,
189,08/12/19 04:00:00 AM,11.528,0.0,,,,,
190,08/12/19 08:00:00 AM,11.334,419.8,,,,,
191,08/12/19 12:00:00 PM,21.282,3272.2,,,,,
192,08/12/19 04:00:00 PM,24.835,2927.8,,,,,
193,08/12/19 08:00:00 PM,20.615,96.9,,,,,
194,08/13/19 12:00:00 AM,18.236,0.0,,,,,
195,08/13/19 04:00:00 AM,17.760,0.0,,,,,
