Plot Title: 1,,,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20153879, SEN S/N: 20153879, LBL: Temp)","Intensity, Lux (LGR S/N: 20153879, SEN S/N: 20153879, LBL: Light)",Bad Battery (LGR S/N: 20153879),Good Battery (LGR S/N: 20153879),Coupler Attached (LGR S/N: 20153879),Host Connected (LGR S/N: 20153879),Stopped (LGR S/N: 20153879),End Of File (LGR S/N: 20153879)
1,12/16/17 20:00,-0.549,0,,,,,,
2,12/17/17 0:00,1.221,0,,,,,,
3,12/17/17 4:00,-1.114,0,,,,,,
4,12/17/17 8:00,-1.57,247.6,,,,,,
5,12/17/17 12:00,2.088,1463.9,,,,,,
6,12/17/17 16:00,1.003,215.3,,,,,,
7,12/17/17 20:00,0.121,0,,,,,,
8,12/18/17 0:00,0.121,0,,,,,,
9,12/18/17 4:00,0.893,0,,,,,,
10,12/18/17 8:00,0.674,43.1,,,,,,
11,12/18/17 12:00,2.195,1001,,,,,,
12,12/18/17 16:00,3.155,139.9,,,,,,
13,12/18/17 20:00,2.837,0,,,,,,
14,12/19/17 0:00,3.788,0,,,,,,
15,12/19/17 4:00,4.102,0,,,,,,
16,12/19/17 8:00,3.578,64.6,,,,,,
17,12/19/17 12:00,6.064,2927.8,,,,,,
18,12/19/17 16:00,6.268,193.8,,,,,,
19,12/19/17 20:00,5.962,0,,,,,,
20,12/20/17 0:00,3.998,0,,,,,,
21,12/20/17 4:00,2.517,0,,,,,,
22,12/20/17 8:00,1.33,139.9,,,,,,
23,12/20/17 12:00,2.73,3100,,,,,,
24,12/20/17 16:00,2.517,667.4,,,,,,
25,12/20/17 20:00,-2.03,0,,,,,,
26,12/21/17 0:00,-3.316,0,,,,,,
27,12/21/17 4:00,-3.197,0,,,,,,
28,12/21/17 8:00,-4.636,183,,,,,,
29,12/21/17 12:00,2.303,3100,,,,,,
30,12/21/17 16:00,1.98,979.5,,,,,,
31,12/21/17 20:00,-1.001,0,,,,,,
32,12/22/17 0:00,-0.437,0,,,,,,
33,12/22/17 4:00,0.563,0,,,,,,
34,12/22/17 8:00,0.784,21.5,,,,,,
35,12/22/17 12:00,5.655,688.9,,,,,,
36,12/22/17 16:00,7.079,118.4,,,,,,
37,12/22/17 20:00,6.268,0,,,,,,
38,12/23/17 0:00,5.962,0,,,,,,
39,12/23/17 4:00,5.962,0,,,,,,
40,12/23/17 8:00,7.782,96.9,,,,,,
41,12/23/17 12:00,8.082,150.7,,,,,,
42,12/23/17 16:00,5.037,75.3,,,,,,
43,12/23/17 20:00,1.003,0,,,,,,
44,12/24/17 0:00,-0.549,0,,,,,,
45,12/24/17 4:00,-1.114,0,,,,,,
46,12/24/17 8:00,-1.456,21.5,,,,,,
47,12/24/17 12:00,-0.437,1550,,,,,,
48,12/24/17 16:00,-0.549,161.5,,,,,,
49,12/24/17 20:00,-1.114,0,,,,,,
50,12/25/17 0:00,-0.437,0,,,,,,
51,12/25/17 4:00,-4.031,0,,,,,,
52,12/25/17 8:00,-7.397,301.4,,,,,,
53,12/25/17 12:00,-7.657,2927.8,,,,,,
54,12/25/17 16:00,-7.01,3272.2,,,,,,
55,12/25/17 20:00,-8.05,0,,,,,,
56,12/26/17 0:00,-9.388,0,,,,,,
57,12/26/17 4:00,-9.525,0,,,,,,
58,12/26/17 8:00,-10.214,699.7,,,,,,
59,12/26/17 12:00,-7.01,6200,,,,,,
60,12/26/17 16:00,-6.754,667.4,,,,,,
61,12/26/17 20:00,-7.657,0,,,,,,
62,12/27/17 0:00,-7.657,0,,,,,,
63,12/27/17 4:00,-8.713,0,,,,,,
64,12/27/17 8:00,-10.634,107.6,,,,,,
65,12/27/17 12:00,-9.799,4650,,,,,,
66,12/27/17 16:00,-11.2,1280.9,,,,,,
67,12/27/17 20:00,-14.023,0,,,,,,
68,12/28/17 0:00,-16.43,0,,,,,,
69,12/28/17 4:00,-19.217,0,,,,,,
70,12/28/17 8:00,-19.77,398.3,Logged,,,,,
71,12/28/17 12:00,-12.509,5166.7,,,,,,
72,12/28/17 16:00,-11.776,1130.2,,,,,,
73,12/28/17 20:00,-16.098,0,,,,,,
74,12/29/17 0:00,-17.446,0,,,,,,
75,12/29/17 4:00,-14.178,0,,,,,,
76,12/29/17 8:00,-14.648,96.9,,,,,,
77,12/29/17 12:00,-8.982,5166.7,,,,,,
