"Plot Title: 2B"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20153868, SEN S/N: 20153868, LBL: Temp)","Intensity, Lux (LGR S/N: 20153868, SEN S/N: 20153868, LBL: Light)","Coupler Attached (LGR S/N: 20153868)","Host Connected (LGR S/N: 20153868)","Coupler Detached (LGR S/N: 20153868)","Stopped (LGR S/N: 20153868)","End Of File (LGR S/N: 20153868)"
99,07/28/19 04:00:00 AM,13.942,0.0,,,,,
100,07/28/19 08:00:00 AM,14.996,753.5,,,,,
101,07/28/19 12:00:00 PM,22.429,2066.7,,,,,
102,07/28/19 04:00:00 PM,24.738,4822.3,,,,,
103,07/28/19 08:00:00 PM,21.473,183.0,,,,,
104,07/29/19 12:00:00 AM,18.045,0.0,,,,,
105,07/29/19 04:00:00 AM,16.332,0.0,,,,,
106,07/29/19 08:00:00 AM,16.427,699.7,,,,,
107,07/29/19 12:00:00 PM,23.100,1894.5,,,,,
108,07/29/19 04:00:00 PM,24.545,5166.7,,,,,
109,07/29/19 08:00:00 PM,21.855,129.2,,,,,
110,07/30/19 12:00:00 AM,18.426,0.0,,,,,
111,07/30/19 04:00:00 AM,15.951,0.0,,,,,
112,07/30/19 08:00:00 AM,16.141,678.1,,,,,
113,07/30/19 12:00:00 PM,22.812,6200.0,,,,,
114,07/30/19 04:00:00 PM,21.378,2583.4,,,,,
115,07/30/19 08:00:00 PM,20.615,43.1,,,,,
116,07/31/19 12:00:00 AM,18.711,0.0,,,,,
117,07/31/19 04:00:00 AM,17.189,0.0,,,,,
118,07/31/19 08:00:00 AM,16.903,592.0,,,,,
119,07/31/19 12:00:00 PM,19.853,1463.9,,,,,
120,07/31/19 04:00:00 PM,19.377,2152.8,,,,,
121,07/31/19 08:00:00 PM,19.567,139.9,,,,,
122,08/01/19 12:00:00 AM,16.618,0.0,,,,,
123,08/01/19 04:00:00 AM,14.804,0.0,,,,,
124,08/01/19 08:00:00 AM,14.421,549.0,,,,,
125,08/01/19 12:00:00 PM,19.948,1022.6,,,,,
126,08/01/19 04:00:00 PM,22.238,4994.5,,,,,
127,08/01/19 08:00:00 PM,20.424,107.6,,,,,
128,08/02/19 12:00:00 AM,18.236,0.0,,,,,
129,08/02/19 04:00:00 AM,16.046,0.0,,,,,
130,08/02/19 08:00:00 AM,16.237,678.1,,,,,
131,08/02/19 12:00:00 PM,20.329,5166.7,,,,,
132,08/02/19 04:00:00 PM,20.901,2066.7,,,,,
133,08/02/19 08:00:00 PM,18.711,53.8,,,,,
134,08/03/19 12:00:00 AM,17.665,0.0,,,,,
135,08/03/19 04:00:00 AM,15.855,0.0,,,,,
136,08/03/19 08:00:00 AM,15.282,581.3,,,,,
137,08/03/19 12:00:00 PM,21.760,3272.2,,,,,
138,08/03/19 04:00:00 PM,22.621,1894.5,,,,,
139,08/03/19 08:00:00 PM,20.234,107.6,,,,,
140,08/04/19 12:00:00 AM,16.713,0.0,,,,,
141,08/04/19 04:00:00 AM,14.900,0.0,,,,,
142,08/04/19 08:00:00 AM,14.230,785.8,,,,,
143,08/04/19 12:00:00 PM,20.615,5166.7,,,,,
144,08/04/19 04:00:00 PM,21.473,839.6,,,,,
145,08/04/19 08:00:00 PM,19.948,118.4,,,,,
146,08/05/19 12:00:00 AM,16.523,0.0,,,,,
147,08/05/19 04:00:00 AM,15.282,0.0,,,,,
148,08/05/19 08:00:00 AM,14.804,624.3,,,,,
149,08/05/19 12:00:00 PM,22.525,5511.1,,,,,
150,08/05/19 04:00:00 PM,20.138,1011.8,,,,,
151,08/05/19 08:00:00 PM,18.901,86.1,,,,,
152,08/06/19 12:00:00 AM,16.903,0.0,,,,,
153,08/06/19 04:00:00 AM,15.378,0.0,,,,,
154,08/06/19 08:00:00 AM,14.804,559.7,,,,,
155,08/06/19 12:00:00 PM,21.091,5166.7,,,,,
156,08/06/19 04:00:00 PM,23.292,4822.3,,,,,
157,08/06/19 08:00:00 PM,20.710,43.1,,,,,
158,08/07/19 12:00:00 AM,18.236,0.0,,,,,
159,08/07/19 04:00:00 AM,17.094,0.0,,,,,
160,08/07/19 08:00:00 AM,17.284,226.0,,,,,
161,08/07/19 12:00:00 PM,18.236,1808.3,,,,,
162,08/07/19 04:00:00 PM,20.043,4133.4,,,,,
163,08/07/19 08:00:00 PM,19.092,32.3,,,,,
164,08/08/19 12:00:00 AM,16.523,0.0,,,,,
165,08/08/19 04:00:00 AM,14.996,0.0,,,,,
166,08/08/19 08:00:00 AM,16.141,204.5,,,,,
167,08/08/19 12:00:00 PM,21.569,5511.1,,,,,
168,08/08/19 04:00:00 PM,18.806,2927.8,,,,,
169,08/08/19 08:00:00 PM,18.045,107.6,,,,,
