Plot Title: 6,,,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20153878, SEN S/N: 20153878, LBL: Temp)","Intensity, Lux (LGR S/N: 20153878, SEN S/N: 20153878, LBL: Light)",Bad Battery (LGR S/N: 20153878),Good Battery (LGR S/N: 20153878),Coupler Attached (LGR S/N: 20153878),Host Connected (LGR S/N: 20153878),Stopped (LGR S/N: 20153878),End Of File (LGR S/N: 20153878)
1,12/16/17 20:00,0.01,0,,,,,,
2,12/17/17 0:00,0.674,0,,,,,,
3,12/17/17 4:00,-1.001,0,,,,,,
4,12/17/17 8:00,-0.662,322.9,,,,,,
5,12/17/17 12:00,2.303,1980.6,,,,,,
6,12/17/17 16:00,1.439,301.4,,,,,,
7,12/17/17 20:00,0.232,0,,,,,,
8,12/18/17 0:00,0.232,0,,,,,,
9,12/18/17 4:00,0.893,0,,,,,,
10,12/18/17 8:00,0.893,64.6,,,,,,
11,12/18/17 12:00,2.837,1334.7,,,,,,
12,12/18/17 16:00,3.155,204.5,,,,,,
13,12/18/17 20:00,3.261,0,,,,,,
14,12/19/17 0:00,4.207,0,,,,,,
15,12/19/17 4:00,4.311,0,,,,,,
16,12/19/17 8:00,3.893,96.9,,,,,,
17,12/19/17 12:00,6.775,4477.8,,,,,,
18,12/19/17 16:00,5.962,247.6,,,,,,
19,12/19/17 20:00,5.86,0,,,,,,
20,12/20/17 0:00,4.311,0,,,,,,
21,12/20/17 4:00,2.195,0,,,,,,
22,12/20/17 8:00,1.112,215.3,,,,,,
23,12/20/17 12:00,3.367,4650,,,,,,
24,12/20/17 16:00,2.943,947.2,,,,,,
25,12/20/17 20:00,-2.494,0,,,,,,
26,12/21/17 0:00,-3.792,0,,,,,,
27,12/21/17 4:00,-2.962,0,,,,,,
28,12/21/17 8:00,-4.758,193.8,,,,,,
29,12/21/17 12:00,3.155,4477.8,,,,,,
30,12/21/17 16:00,2.73,1377.8,,,,,,
31,12/21/17 20:00,-0.662,0,,,,,,
32,12/22/17 0:00,-0.662,0,,,,,,
33,12/22/17 4:00,1.33,0,,,,,,
34,12/22/17 8:00,1.33,32.3,,,,,,
35,12/22/17 12:00,6.166,1001,,,,,,
36,12/22/17 16:00,8.182,183,,,,,,
37,12/22/17 20:00,7.882,0,,,,,,
38,12/23/17 0:00,7.682,0,,,,,,
39,12/23/17 4:00,7.682,0,,,,,,
40,12/23/17 8:00,8.282,161.5,,,,,,
41,12/23/17 12:00,8.282,269.1,,,,,,
