Plot Title: 5,,,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20153874, SEN S/N: 20153874, LBL: Temp)","Intensity, Lux (LGR S/N: 20153874, SEN S/N: 20153874, LBL: Light)",Bad Battery (LGR S/N: 20153874),Good Battery (LGR S/N: 20153874),Coupler Attached (LGR S/N: 20153874),Host Connected (LGR S/N: 20153874),Stopped (LGR S/N: 20153874),End Of File (LGR S/N: 20153874)
1,12/16/17 20:00,-0.213,0,,,,,,
2,12/17/17 0:00,0.893,0,,,,,,
3,12/17/17 4:00,-1.228,0,,,,,,
4,12/17/17 8:00,-1.001,376.7,,,,,,
5,12/17/17 12:00,2.41,2238.9,,,,,,
6,12/17/17 16:00,1.221,333.7,,,,,,
7,12/17/17 20:00,0.232,0,,,,,,
8,12/18/17 0:00,0.121,0,,,,,,
9,12/18/17 4:00,0.893,0,,,,,,
10,12/18/17 8:00,0.784,64.6,,,,,,
11,12/18/17 12:00,3.049,1463.9,,,,,,
12,12/18/17 16:00,3.261,226,,,,,,
13,12/18/17 20:00,3.155,0,,,,,,
14,12/19/17 0:00,3.998,0,,,,,,
15,12/19/17 4:00,4.207,0,,,,,,
16,12/19/17 8:00,3.893,118.4,,,,,,
17,12/19/17 12:00,7.381,5338.9,,,,,,
18,12/19/17 16:00,6.064,322.9,,,,,,
19,12/19/17 20:00,5.757,0,,,,,,
20,12/20/17 0:00,4.311,0,,,,,,
21,12/20/17 4:00,2.41,0,,,,,,
22,12/20/17 8:00,1.221,236.8,,,,,,
23,12/20/17 12:00,3.998,5166.7,,,,,,
24,12/20/17 16:00,3.261,1151.7,,,,,,
25,12/20/17 20:00,-2.727,0,,,,,,
26,12/21/17 0:00,-4.393,0,,,,,,
27,12/21/17 4:00,-3.434,0,,,,,,
28,12/21/17 8:00,-5.003,312.2,,,,,,
29,12/21/17 12:00,3.893,5166.7,,,,,,
30,12/21/17 16:00,2.73,1636.1,,,,,,
31,12/21/17 20:00,-1.114,0,,,,,,
32,12/22/17 0:00,-0.662,0,,,,,,
33,12/22/17 4:00,1.003,0,,,,,,
34,12/22/17 8:00,1.112,32.3,,,,,,
35,12/22/17 12:00,6.166,1194.8,,,,,,
36,12/22/17 16:00,8.481,204.5,,,,,,
37,12/22/17 20:00,7.983,0,,,,,,
38,12/23/17 0:00,7.682,0,,,,,,
39,12/23/17 4:00,7.481,0,,,,,,
40,12/23/17 8:00,8.382,193.8,,,,,,
41,12/23/17 12:00,8.382,290.6,,,,,,
42,12/23/17 16:00,5.244,129.2,,,,,,
43,12/23/17 20:00,0.893,0,,,,,,
44,12/24/17 0:00,-0.549,0,,,,,,
45,12/24/17 4:00,-1.228,0,,,,,,
46,12/24/17 8:00,-1.684,43.1,,,,,,
47,12/24/17 12:00,-0.213,2497.2,,,,,,
48,12/24/17 16:00,-0.437,269.1,,,,,,
49,12/24/17 20:00,-1.114,0,,,,,,
50,12/25/17 0:00,-0.437,0,,,,,,
51,12/25/17 4:00,-4.272,0,,,,,,
52,12/25/17 8:00,-7.657,419.8,,,,,,
53,12/25/17 12:00,-7.527,3788.9,,,,,,
54,12/25/17 16:00,-7.138,4305.6,,,,,,
55,12/25/17 20:00,-8.447,0,,,,,,
56,12/26/17 0:00,-9.937,0,,,,,,
57,12/26/17 4:00,-10.353,0,,,,,,
58,12/26/17 8:00,-10.916,1022.6,,,,,,
59,12/26/17 12:00,-6.499,11022.3,,,,,,
60,12/26/17 16:00,-7.01,1001,,,,,,
61,12/26/17 20:00,-8.447,0,,,,,,
62,12/27/17 0:00,-8.314,0,,,,,,
63,12/27/17 4:00,-9.525,0,,,,,,
64,12/27/17 8:00,-11.487,150.7,,,,,,
65,12/27/17 12:00,-9.662,6200,,,,,,
66,12/27/17 16:00,-11.058,1980.6,,,,,,
67,12/27/17 20:00,-15.285,0,,,,,,
68,12/28/17 0:00,-17.274,0,,,,,,
69,12/28/17 4:00,-19.956,0,Logged,,,,,
70,12/28/17 8:00,-19.956,570.5,,,,,,
71,12/28/17 12:00,-11.344,8611.2,,,,,,
72,12/28/17 16:00,-11.487,1550,,,,,,
73,12/28/17 20:00,-16.264,0,,,,,,
74,12/29/17 0:00,-17.618,0,,,,,,
75,12/29/17 4:00,-14.334,0,,,,,,
76,12/29/17 8:00,-14.023,150.7,,,,,,
77,12/29/17 12:00,-8.447,7577.8,,,,,,
78,12/29/17 16:00,-8.982,850.4,,,,,,
79,12/29/17 20:00,-11.922,0,,,,,,
80,12/30/17 0:00,-10.214,0,,,,,,
81,12/30/17 4:00,-8.713,0,,,,,,
82,12/30/17 8:00,-7.657,43.1,,,,,,
83,12/30/17 12:00,-6.754,4133.4,,,,,,
84,12/30/17 16:00,-9.388,581.3,,,,,,
85,12/30/17 20:00,-12.214,0,,,,,,
86,12/31/17 0:00,-15.124,0,,,,,,
87,12/31/17 4:00,-15.446,0,,,,,,
88,12/31/17 8:00,-17.966,656.6,,,,,,
89,12/31/17 12:00,-13.107,3444.5,,,,,,
90,12/31/17 16:00,-12.214,3444.5,,,,,,
91,12/31/17 20:00,-15.934,0,,,,,,
92,1/1/18 0:00,-14.806,0,,,,,,
93,1/1/18 4:00,-17.618,0,,,,,,
94,1/1/18 8:00,-19.584,1011.8,,,,,,
95,1/1/18 12:00,-11.922,10677.8,,,,,,
96,1/1/18 16:00,-13.562,1808.3,,,,,,
97,1/1/18 20:00,-16.264,0,,,,,,
98,1/2/18 0:00,-16.765,0,,,,,,
99,1/2/18 4:00,-17.446,0,,,,,,
100,1/2/18 8:00,-17.966,688.9,,,,,,
101,1/2/18 12:00,-11.344,9300.1,,,,,,
102,1/2/18 16:00,-11.2,2152.8,,,,,,
103,1/2/18 20:00,-15.446,0,,,,,,
104,1/3/18 0:00,-16.597,0,,,,,,
105,1/3/18 4:00,-20.144,0,,,,,,
106,1/3/18 8:00,-23.119,473.6,,,,,,
107,1/3/18 12:00,-4.758,8611.2,,,,,,
108,1/3/18 16:00,-4.758,1980.6,,,,,,
109,1/3/18 20:00,-8.713,0,,,,,,
110,1/4/18 0:00,-10.916,0,,,,,,
111,1/4/18 4:00,-11.2,0,,,,,,
112,1/4/18 8:00,-11.776,43.1,,,,,,
113,1/4/18 12:00,-10.634,4994.5,,,,,,
114,1/4/18 16:00,-12.956,1808.3,,,,,,
115,1/4/18 20:00,-15.608,0,,,,,,
116,1/5/18 0:00,-17.103,0,,,,,,
117,1/5/18 4:00,-18.496,0,,,,,,
118,1/5/18 8:00,-19.584,710.4,,,,,,
119,1/5/18 12:00,-15.285,8611.2,,,,,,
120,1/5/18 16:00,-15.446,2669.5,,,,,,
121,1/5/18 20:00,-16.765,0,,,,,,
122,1/6/18 0:00,-18.496,0,,,,,,
123,1/6/18 4:00,-19.035,0,,,,,,
124,1/6/18 8:00,-18.854,656.6,,,,,,
125,1/6/18 12:00,-14.806,5166.7,,,,,,
126,1/6/18 16:00,-14.648,3100,,,,,,
127,1/6/18 20:00,-16.597,0,,,,,,
128,1/7/18 0:00,-19.4,0,,,,,,
129,1/7/18 4:00,-22.704,0,,,,,,
130,1/7/18 8:00,-24.406,473.6,,,,,,
131,1/7/18 12:00,-7.01,9644.5,,,,,,
132,1/7/18 16:00,-4.88,2927.8,,,,,,
133,1/7/18 20:00,-8.847,0,,,,,,
134,1/8/18 0:00,-8.58,0,,,,,,
135,1/8/18 4:00,-5.995,0,,,,,,
136,1/8/18 8:00,0.01,387.5,,,,,,
137,1/8/18 12:00,1.656,3272.2,,,,,,
138,1/8/18 16:00,1.33,893.4,,,,,,
