Plot Title: 3,,,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20153875, SEN S/N: 20153875, LBL: Temp)","Intensity, Lux (LGR S/N: 20153875, SEN S/N: 20153875, LBL: Light)",Bad Battery (LGR S/N: 20153875),Good Battery (LGR S/N: 20153875),Coupler Attached (LGR S/N: 20153875),Host Connected (LGR S/N: 20153875),Stopped (LGR S/N: 20153875),End Of File (LGR S/N: 20153875)
1,12/16/17 20:00,-0.549,0,,,,,,
2,12/17/17 0:00,1.112,0,,,,,,
3,12/17/17 4:00,-1.001,0,,,,,,
4,12/17/17 8:00,-1.114,409,,,,,,
5,12/17/17 12:00,2.517,2325,,,,,,
6,12/17/17 16:00,1.221,366,,,,,,
7,12/17/17 20:00,0.121,0,,,,,,
8,12/18/17 0:00,0.01,0,,,,,,
9,12/18/17 4:00,0.893,0,,,,,,
10,12/18/17 8:00,0.893,86.1,,,,,,
11,12/18/17 12:00,3.049,1636.1,,,,,,
12,12/18/17 16:00,3.261,247.6,,,,,,
13,12/18/17 20:00,3.049,0,,,,,,
14,12/19/17 0:00,3.893,0,,,,,,
15,12/19/17 4:00,4.102,0,,,,,,
16,12/19/17 8:00,3.578,129.2,,,,,,
17,12/19/17 12:00,6.978,4650,,,,,,
18,12/19/17 16:00,6.166,333.7,,,,,,
19,12/19/17 20:00,5.86,0,,,,,,
20,12/20/17 0:00,4.207,0,,,,,,
21,12/20/17 4:00,2.303,0,,,,,,
22,12/20/17 8:00,1.112,269.1,,,,,,
23,12/20/17 12:00,3.683,4994.5,,,,,,
24,12/20/17 16:00,3.049,1248.6,,,,,,
25,12/20/17 20:00,-2.377,0,,,,,,
26,12/21/17 0:00,-3.911,0,,,,,,
27,12/21/17 4:00,-3.197,0,,,,,,
28,12/21/17 8:00,-5.125,247.6,,,,,,
29,12/21/17 12:00,3.472,4822.3,,,,,,
30,12/21/17 16:00,2.73,1722.2,,,,,,
31,12/21/17 20:00,-1.001,0,,,,,,
32,12/22/17 0:00,-0.662,0,,,,,,
33,12/22/17 4:00,0.893,0,,,,,,
34,12/22/17 8:00,1.003,43.1,,,,,,
35,12/22/17 12:00,6.268,1227.1,,,,,,
36,12/22/17 16:00,8.581,226,,,,,,
37,12/22/17 20:00,7.481,0,,,,,,
38,12/23/17 0:00,7.28,0,,,,,,
39,12/23/17 4:00,7.179,0,,,,,,
